"Gemeente";"Inwoners";"Van";"Tot";"Zkh opname";"Zkh opname per 100.000";"Aantal x100 miljard"
"'s-Gravenhage";553417;"2023-06-05";"2023-06-11";0;0;307,49
"'s-Hertogenbosch";156538;"2023-06-05";"2023-06-11";1;0,6;107,33
"Aa en Hunze";25579;"2023-06-05";"2023-06-11";1;3,9;77,6
"Aalsmeer";32452;"2023-06-05";"2023-06-11";0;0;107,3
"Aalten";27100;"2023-06-05";"2023-06-11";0;0;74,52
"Achtkarspelen";27954;"2023-06-05";"2023-06-11";0;0;71,25
"Alblasserdam";20087;"2023-06-05";"2023-06-11";0;0;30,54
"Albrandswaard";25934;"2023-06-05";"2023-06-11";0;0;85,65
"Alkmaar";110783;"2023-06-05";"2023-06-11";1;0,9;123,07
"Almelo";73155;"2023-06-05";"2023-06-11";0;0;106,69
"Almere";217828;"2023-06-05";"2023-06-11";0;0;102,96
"Alphen aan den Rijn";112926;"2023-06-05";"2023-06-11";0;0;100,63
"Alphen-Chaam";10425;"2023-06-05";"2023-06-11";0;0;46,65
"Altena";57009;"2023-06-05";"2023-06-11";1;1,8;77,53
"Ameland";3757;"2023-06-05";"2023-06-11";0;0;35,46
"Amersfoort";158590;"2023-06-05";"2023-06-11";0;0;28,38
"Amstelveen";92331;"2023-06-05";"2023-06-11";0;0;169,65
"Amsterdam";903399;"2023-06-05";"2023-06-11";3;0,3;217,48
"Apeldoorn";165611;"2023-06-05";"2023-06-11";0;0;1,29
"Arnhem";163888;"2023-06-05";"2023-06-11";0;0;40,56
"Assen";68979;"2023-06-05";"2023-06-11";0;0;68,34
"Asten";17068;"2023-06-05";"2023-06-11";0;0;11,79
"Baarle-Nassau";6931;"2023-06-05";"2023-06-11";0;0;24,24
"Baarn";24876;"2023-06-05";"2023-06-11";0;0;219,31
"Barendrecht";48714;"2023-06-05";"2023-06-11";0;0;121
"Barneveld";60584;"2023-06-05";"2023-06-11";0;0;24,05
"Beek";15817;"2023-06-05";"2023-06-11";0;0;123,89
"Beekdaelen";35922;"2023-06-05";"2023-06-11";0;0;132,2
"Beesel";13408;"2023-06-05";"2023-06-11";0;0;21,7
"Berg en Dal";34951;"2023-06-05";"2023-06-11";0;0;37,13
"Bergeijk";18879;"2023-06-05";"2023-06-11";0;0;97,88
"Bergen (L.)";13106;"2023-06-05";"2023-06-11";0;0;28,97
"Bergen (NH.)";29723;"2023-06-05";"2023-06-11";0;0;125,38
"Bergen op Zoom";67894;"2023-06-05";"2023-06-11";0;0;29,73
"Berkelland";43850;"2023-06-05";"2023-06-11";0;0;45,59
"Bernheze";31715;"2023-06-05";"2023-06-11";0;0;24,36
"Best";30608;"2023-06-05";"2023-06-11";0;0;12,82
"Beuningen";26235;"2023-06-05";"2023-06-11";0;0;79,91
"Beverwijk";42084;"2023-06-05";"2023-06-11";0;0;157,27
"Bladel";20718;"2023-06-05";"2023-06-11";0;0;105,49
"Blaricum";12359;"2023-06-05";"2023-06-11";0;0;104,01
"Bloemendaal";23732;"2023-06-05";"2023-06-11";0;0;127,12
"Bodegraven-Reeuwijk";35752;"2023-06-05";"2023-06-11";0;0;140,41
"Boekel";11030;"2023-06-05";"2023-06-11";0;0;41,34
"Borger-Odoorn";25681;"2023-06-05";"2023-06-11";0;0;65,38
"Borne";24007;"2023-06-05";"2023-06-11";0;0;0
"Borsele";22847;"2023-06-05";"2023-06-11";1;4,4;65,41
"Boxtel";33129;"2023-06-05";"2023-06-11";0;0;22,55
"Breda";184702;"2023-06-05";"2023-06-11";1;0,5;197,34
"Bronckhorst";36077;"2023-06-05";"2023-06-11";1;2,8;58,94
"Brummen";20890;"2023-06-05";"2023-06-11";0;0;154,8
"Brunssum";27674;"2023-06-05";"2023-06-11";0;0;114,94
"Bunnik";15590;"2023-06-05";"2023-06-11";0;0;16,25
"Bunschoten";22325;"2023-06-05";"2023-06-11";0;0;28,39
"Buren";27155;"2023-06-05";"2023-06-11";0;0;36,14
"Capelle aan den IJssel";67188;"2023-06-05";"2023-06-11";0;0;141,86
"Castricum";36263;"2023-06-05";"2023-06-11";0;0;122,53
"Coevorden";35517;"2023-06-05";"2023-06-11";0;0;70,78
"Cranendonck";20669;"2023-06-05";"2023-06-11";0;0;14,9
"Culemborg";29397;"2023-06-05";"2023-06-11";0;0;40,64
"Dalfsen";29162;"2023-06-05";"2023-06-11";0;0;51,43
"Dantumadiel";18957;"2023-06-05";"2023-06-11";0;0;54,33
"De Bilt";43508;"2023-06-05";"2023-06-11";1;2,3;24,65
"De Fryske Marren";51597;"2023-06-05";"2023-06-11";0;0;34,19
"De Ronde Venen";44955;"2023-06-05";"2023-06-11";0;0;88,19
"De Wolden";24511;"2023-06-05";"2023-06-11";0;0;82,15
"Delft";104572;"2023-06-05";"2023-06-11";1;1;256,29
"Den Helder";56334;"2023-06-05";"2023-06-11";0;0;148,22
"Deurne";32606;"2023-06-05";"2023-06-11";1;3,1;31,71
"Deventer";101446;"2023-06-05";"2023-06-11";1;1;119,94
"Diemen";31822;"2023-06-05";"2023-06-11";0;0;221,64
"Dijk en Waard";87695;"2023-06-05";"2023-06-11";0;0;67,84
"Dinkelland";26594;"2023-06-05";"2023-06-11";0;0;2,25
"Doesburg";11036;"2023-06-05";"2023-06-11";0;0;57,86
"Doetinchem";58546;"2023-06-05";"2023-06-11";0;0;12
"Dongen";26483;"2023-06-05";"2023-06-11";0;0;56,76
"Dordrecht";119537;"2023-06-05";"2023-06-11";0;0;106,08
"Drechterland";19983;"2023-06-05";"2023-06-11";2;10;198,8
"Drimmelen";27476;"2023-06-05";"2023-06-11";0;0;95,4
"Dronten";42865;"2023-06-05";"2023-06-11";0;0;177,32
"Druten";19178;"2023-06-05";"2023-06-11";0;0;8,4
"Duiven";24946;"2023-06-05";"2023-06-11";0;0;33,93
"Echt-Susteren";31731;"2023-06-05";"2023-06-11";1;3,2;110,26
"Edam-Volendam";36471;"2023-06-05";"2023-06-11";0;0;64,05
"Ede";119986;"2023-06-05";"2023-06-11";0;0;31,63
"Eemnes";9450;"2023-06-05";"2023-06-11";0;0;104,01
"Eemsdelta";45389;"2023-06-05";"2023-06-11";0;0;19,32
"Eersel";19823;"2023-06-05";"2023-06-11";0;0;98,59
"Eijsden-Margraten";25857;"2023-06-05";"2023-06-11";0;0;84,32
"Eindhoven";238326;"2023-06-05";"2023-06-11";0;0;97,88
"Elburg";23740;"2023-06-05";"2023-06-11";1;4,2;58,96
"Emmen";107856;"2023-06-05";"2023-06-11";0;0;67,37
"Enkhuizen";18620;"2023-06-05";"2023-06-11";0;0;198,8
"Enschede";160640;"2023-06-05";"2023-06-11";1;0,6;180,89
"Epe";33257;"2023-06-05";"2023-06-11";0;0;0,08
"Ermelo";27258;"2023-06-05";"2023-06-11";0;0;0
"Etten-Leur";44152;"2023-06-05";"2023-06-11";1;2,3;194,86
"Geertruidenberg";21944;"2023-06-05";"2023-06-11";0;0;67,51
"Geldrop-Mierlo";40131;"2023-06-05";"2023-06-11";0;0;97,81
"Gemert-Bakel";31040;"2023-06-05";"2023-06-11";1;3,2;37,74
"Gennep";17237;"2023-06-05";"2023-06-11";0;0;13,48
"Gilze en Rijen";26557;"2023-06-05";"2023-06-11";0;0;58,95
"Goeree-Overflakkee";51051;"2023-06-05";"2023-06-11";0;0;25,87
"Goes";38950;"2023-06-05";"2023-06-11";0;0;65,41
"Goirle";23979;"2023-06-05";"2023-06-11";0;0;63,76
"Gooise Meren";58846;"2023-06-05";"2023-06-11";0;0;86,41
"Gorinchem";37632;"2023-06-05";"2023-06-11";0;0;86,84
"Gouda";74095;"2023-06-05";"2023-06-11";0;0;63,44
"Groningen";234950;"2023-06-05";"2023-06-11";0;0;77,25
"Gulpen-Wittem";14178;"2023-06-05";"2023-06-11";0;0;39,56
"Haaksbergen";24268;"2023-06-05";"2023-06-11";0;0;82,05
"Haarlem";162898;"2023-06-05";"2023-06-11";1;0,6;138,8
"Haarlemmermeer";159336;"2023-06-05";"2023-06-11";0;0;273,52
"Halderberge";30770;"2023-06-05";"2023-06-11";0;0;29,98
"Hardenberg";61798;"2023-06-05";"2023-06-11";1;1,6;15,13
"Harderwijk";48857;"2023-06-05";"2023-06-11";0;0;0,04
"Hardinxveld-Giessendam";18511;"2023-06-05";"2023-06-11";0;0;33,09
"Harlingen";15904;"2023-06-05";"2023-06-11";0;0;85,73
"Hattem";12307;"2023-06-05";"2023-06-11";0;0;78,73
"Heemskerk";39189;"2023-06-05";"2023-06-11";0;0;157,27
"Heemstede";27557;"2023-06-05";"2023-06-11";1;3,6;70,42
"Heerde";18976;"2023-06-05";"2023-06-11";0;0;16,76
"Heerenveen";51119;"2023-06-05";"2023-06-11";0;0;26,3
"Heerlen";86845;"2023-06-05";"2023-06-11";1;1,2;128,97
"Heeze-Leende";16470;"2023-06-05";"2023-06-11";1;6,1;97,67
"Heiloo";24417;"2023-06-05";"2023-06-11";0;0;58,52
"Hellendoorn";35940;"2023-06-05";"2023-06-11";0;0;50,12
"Helmond";93476;"2023-06-05";"2023-06-11";0;0;37,73
"Hendrik-Ido-Ambacht";31663;"2023-06-05";"2023-06-11";0;0;177,5
"Hengelo";81476;"2023-06-05";"2023-06-11";0;0;0
"Het Hogeland";48022;"2023-06-05";"2023-06-11";0;0;34,17
"Heumen";17175;"2023-06-05";"2023-06-11";0;0;60,55
"Heusden";45557;"2023-06-05";"2023-06-11";0;0;88,02
"Hillegom";22312;"2023-06-05";"2023-06-11";0;0;83,51
"Hilvarenbeek";15810;"2023-06-05";"2023-06-11";0;0;71,54
"Hilversum";91733;"2023-06-05";"2023-06-11";0;0;181,72
"Hoeksche Waard";88715;"2023-06-05";"2023-06-11";0;0;97,42
"Hof van Twente";35056;"2023-06-05";"2023-06-11";0;0;33,8
