"Gemeente";"Inwoners";"Van";"Tot";"Zkh opname";"Zkh opname per 100.000"
"Gemert-Bakel";31040;"05-04-2023";"18-04-2023";4;12,9
"Gennep";17237;"05-04-2023";"18-04-2023";0;0
"Gilze en Rijen";26557;"05-04-2023";"18-04-2023";0;0
"Goeree-Overflakkee";51051;"05-04-2023";"18-04-2023";2;3,9
"Goes";38950;"05-04-2023";"18-04-2023";2;5,1
"Goirle";23979;"05-04-2023";"18-04-2023";0;0
"Gooise Meren";58846;"05-04-2023";"18-04-2023";0;0
"Gorinchem";37632;"05-04-2023";"18-04-2023";0;0
"Gouda";74095;"05-04-2023";"18-04-2023";3;4
"Groningen";234950;"05-04-2023";"18-04-2023";9;3,8
"Gulpen-Wittem";14178;"05-04-2023";"18-04-2023";1;7,1
"Haaksbergen";24268;"05-04-2023";"18-04-2023";1;4,1
"Haarlem";162898;"05-04-2023";"18-04-2023";2;1,2
"Haarlemmermeer";159336;"05-04-2023";"18-04-2023";7;4,4
"Halderberge";30770;"05-04-2023";"18-04-2023";1;3,2
"Hardenberg";61798;"05-04-2023";"18-04-2023";2;3,2
"Harderwijk";48857;"05-04-2023";"18-04-2023";2;4,1
"Hardinxveld-Giessendam";18511;"05-04-2023";"18-04-2023";0;0
"Harlingen";15904;"05-04-2023";"18-04-2023";0;0
"Hattem";12307;"05-04-2023";"18-04-2023";0;0
"Heemskerk";39189;"05-04-2023";"18-04-2023";0;0
"Heemstede";27557;"05-04-2023";"18-04-2023";1;3,6
"Heerde";18976;"05-04-2023";"18-04-2023";1;5,3
"Heerenveen";51119;"05-04-2023";"18-04-2023";0;0
"Heerlen";86845;"05-04-2023";"18-04-2023";4;4,6
"Heeze-Leende";16470;"05-04-2023";"18-04-2023";2;12,1
"Heiloo";24417;"05-04-2023";"18-04-2023";3;12,3
"Hellendoorn";35940;"05-04-2023";"18-04-2023";1;2,8
"Helmond";93476;"05-04-2023";"18-04-2023";9;9,6
"Hendrik-Ido-Ambacht";31663;"05-04-2023";"18-04-2023";0;0
"Hengelo";81476;"05-04-2023";"18-04-2023";1;1,2
"Het Hogeland";48022;"05-04-2023";"18-04-2023";4;8,3
"Heumen";17175;"05-04-2023";"18-04-2023";0;0
"Heusden";45557;"05-04-2023";"18-04-2023";2;4,4
"Hillegom";22312;"05-04-2023";"18-04-2023";0;0
"Hilvarenbeek";15810;"05-04-2023";"18-04-2023";1;6,3
"Hilversum";91733;"05-04-2023";"18-04-2023";0;0
"Hoeksche Waard";88715;"05-04-2023";"18-04-2023";1;1,1
"Hof van Twente";35056;"05-04-2023";"18-04-2023";0;0
"Hollands Kroon";48778;"05-04-2023";"18-04-2023";5;10,3
"Hoogeveen";55857;"05-04-2023";"18-04-2023";3;5,4
"Hoorn";74298;"05-04-2023";"18-04-2023";7;9,4
"Horst aan de Maas";43039;"05-04-2023";"18-04-2023";0;0
"Houten";50323;"05-04-2023";"18-04-2023";2;4
"Huizen";40938;"05-04-2023";"18-04-2023";0;0
"Hulst";27533;"05-04-2023";"18-04-2023";0;0
"IJsselstein";33429;"05-04-2023";"18-04-2023";0;0
"Kaag en Braassem";27895;"05-04-2023";"18-04-2023";1;3,6
"Kampen";54791;"05-04-2023";"18-04-2023";6;11
"Kapelle";13020;"05-04-2023";"18-04-2023";0;0
"Katwijk";66032;"05-04-2023";"18-04-2023";4;6,1
"Kerkrade";45324;"05-04-2023";"18-04-2023";2;4,4
"Koggenland";23048;"05-04-2023";"18-04-2023";0;0
"Krimpen aan den IJssel";29415;"05-04-2023";"18-04-2023";2;6,8
"Krimpenerwaard";57062;"05-04-2023";"18-04-2023";1;1,8
"Laarbeek";22943;"05-04-2023";"18-04-2023";2;8,7
