"Gemeente";"Gemnr";"Gemeente";"Bev";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"'s-Gravenhage";518;"'s-Gravenhage";548320;"04-05-2022";"17-05-2022";599;109.2;9;1.6;0;0
"'s-Hertogenbosch";796;"'s-Hertogenbosch";155490;"04-05-2022";"17-05-2022";96;61.7;0;0;0;0
"Aa en Hunze";1680;"Aa en Hunze";25399;"04-05-2022";"17-05-2022";13;51.2;1;3.9;0;0
"Aalsmeer";358;"Aalsmeer";31991;"04-05-2022";"17-05-2022";42;131.3;1;3.1;0;0
"Aalten";197;"Aalten";27120;"04-05-2022";"17-05-2022";34;125.4;6;22.1;0;0
"Achtkarspelen";59;"Achtkarspelen";27900;"04-05-2022";"17-05-2022";7;25.1;0;0;0;0
"Alblasserdam";482;"Alblasserdam";20136;"04-05-2022";"17-05-2022";18;89.4;2;9.9;0;0
"Albrandswaard";613;"Albrandswaard";25814;"04-05-2022";"17-05-2022";33;127.8;0;0;0;0
"Alkmaar";361;"Alkmaar";109896;"04-05-2022";"17-05-2022";136;123.8;3;2.7;1;0.9
"Almelo";141;"Almelo";73132;"04-05-2022";"17-05-2022";78;106.7;2;2.7;0;0
"Almere";34;"Almere";214715;"04-05-2022";"17-05-2022";277;129;1;0.5;0;0
"Alphen aan den Rijn";484;"Alphen aan den Rijn";112587;"04-05-2022";"17-05-2022";113;100.4;2;1.8;0;0
"Alphen-Chaam";1723;"Alphen-Chaam";10373;"04-05-2022";"17-05-2022";2;19.3;0;0;0;0
"Altena";1959;"Altena";56352;"04-05-2022";"17-05-2022";27;47.9;1;1.8;0;0
"Ameland";60;"Ameland";3746;"04-05-2022";"17-05-2022";0;0;0;0;0;0
"Amersfoort";307;"Amersfoort";157462;"04-05-2022";"17-05-2022";161;102.2;5;3.2;0;0
"Amstelveen";362;"Amstelveen";90829;"04-05-2022";"17-05-2022";133;146.4;0;0;0;0
"Amsterdam";363;"Amsterdam";893783;"04-05-2022";"17-05-2022";1495;167.3;11;1.2;2;0.2
"Apeldoorn";200;"Apeldoorn";164781;"04-05-2022";"17-05-2022";128;77.7;2;1.2;0;0
"Arnhem";202;"Arnhem";162424;"04-05-2022";"17-05-2022";159;97.9;8;4.9;0;0
"Assen";106;"Assen";68836;"04-05-2022";"17-05-2022";64;93;2;2.9;0;0
"Asten";743;"Asten";16817;"04-05-2022";"17-05-2022";13;77.3;0;0;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6899;"04-05-2022";"17-05-2022";3;43.5;0;0;0;0
"Baarn";308;"Baarn";24792;"04-05-2022";"17-05-2022";36;145.2;1;4;0;0
"Barendrecht";489;"Barendrecht";48643;"04-05-2022";"17-05-2022";47;96.6;3;6.2;0;0
"Barneveld";203;"Barneveld";59992;"04-05-2022";"17-05-2022";34;56.7;4;6.7;0;0
"Beek";888;"Beek";15875;"04-05-2022";"17-05-2022";17;107.1;0;0;0;0
"Beekdaelen";1954;"Beekdaelen";36065;"04-05-2022";"17-05-2022";18;49.9;0;0;0;0
"Beesel";889;"Beesel";13450;"04-05-2022";"17-05-2022";3;22.3;0;0;0;0
"Berg en Dal";1945;"Berg en Dal";35010;"04-05-2022";"17-05-2022";22;62.8;0;0;0;0
"Bergeijk";1724;"Bergeijk";18754;"04-05-2022";"17-05-2022";6;32;0;0;0;0
"Bergen (L.)";893;"Bergen (L.)";13108;"04-05-2022";"17-05-2022";9;68.7;0;0;0;0
"Bergen (NH.)";373;"Bergen (NH.)";29715;"04-05-2022";"17-05-2022";40;134.6;3;10.1;0;0
"Bergen op Zoom";748;"Bergen op Zoom";67514;"04-05-2022";"17-05-2022";34;50.4;1;1.5;0;0
"Berkelland";1859;"Berkelland";43846;"04-05-2022";"17-05-2022";35;79.8;2;4.6;0;0
"Bernheze";1721;"Bernheze";31455;"04-05-2022";"17-05-2022";13;41.3;2;6.4;0;0
"Best";753;"Best";30216;"04-05-2022";"17-05-2022";16;53;0;0;0;0
"Beuningen";209;"Beuningen";26157;"04-05-2022";"17-05-2022";22;84.1;2;7.6;0;0
"Beverwijk";375;"Beverwijk";41863;"04-05-2022";"17-05-2022";39;93.2;0;0;0;0
"Bladel";1728;"Bladel";20529;"04-05-2022";"17-05-2022";10;48.7;1;4.9;0;0
"Blaricum";376;"Blaricum";11954;"04-05-2022";"17-05-2022";10;83.7;0;0;0;0
"Bloemendaal";377;"Bloemendaal";23478;"04-05-2022";"17-05-2022";33;140.6;0;0;0;0
"Bodegraven-Reeuwijk";1901;"Bodegraven-Reeuwijk";35278;"04-05-2022";"17-05-2022";35;99.2;0;0;0;0
"Boekel";755;"Boekel";10959;"04-05-2022";"17-05-2022";0;0;0;0;0;0
"Borger-Odoorn";1681;"Borger-Odoorn";25598;"04-05-2022";"17-05-2022";9;35.2;0;0;0;0
"Borne";147;"Borne";23668;"04-05-2022";"17-05-2022";19;80.3;0;0;0;0
"Borsele";654;"Borsele";22818;"04-05-2022";"17-05-2022";15;65.7;1;4.4;0;0
"Boxtel";757;"Boxtel";32973;"04-05-2022";"17-05-2022";15;45.5;0;0;0;0
"Breda";758;"Breda";184126;"04-05-2022";"17-05-2022";131;71.1;4;2.2;0;0
"Brielle";501;"Brielle";17439;"04-05-2022";"17-05-2022";9;51.6;1;5.7;0;0
"Bronckhorst";1876;"Bronckhorst";36087;"04-05-2022";"17-05-2022";34;94.2;1;2.8;0;0
"Brummen";213;"Brummen";20884;"04-05-2022";"17-05-2022";14;67;2;9.6;0;0
"Brunssum";899;"Brunssum";27670;"04-05-2022";"17-05-2022";17;61.4;0;0;0;0
"Bunnik";312;"Bunnik";15341;"04-05-2022";"17-05-2022";20;130.4;0;0;0;0
"Bunschoten";313;"Bunschoten";22019;"04-05-2022";"17-05-2022";13;59;2;9.1;0;0
"Buren";214;"Buren";27009;"04-05-2022";"17-05-2022";25;92.6;2;7.4;0;0
"Capelle aan den IJssel";502;"Capelle aan den IJssel";67319;"04-05-2022";"17-05-2022";74;109.9;4;5.9;0;0
"Castricum";383;"Castricum";36086;"04-05-2022";"17-05-2022";36;99.8;3;8.3;0;0
"Coevorden";109;"Coevorden";35317;"04-05-2022";"17-05-2022";20;56.6;0;0;0;0
"Cranendonck";1706;"Cranendonck";21001;"04-05-2022";"17-05-2022";8;38.1;0;0;0;0
"Culemborg";216;"Culemborg";29121;"04-05-2022";"17-05-2022";27;92.7;1;3.4;0;0
"Dalfsen";148;"Dalfsen";28901;"04-05-2022";"17-05-2022";24;83;0;0;0;0
"Dantumadiel";1891;"Dantumadiel";18943;"04-05-2022";"17-05-2022";13;68.6;1;5.3;0;0
"De Bilt";310;"De Bilt";43384;"04-05-2022";"17-05-2022";30;69.1;0;0;0;0
"De Fryske Marren";1940;"De Fryske Marren";51778;"04-05-2022";"17-05-2022";25;48.3;3;5.8;0;0
"De Ronde Venen";736;"De Ronde Venen";44720;"04-05-2022";"17-05-2022";47;105.1;1;2.2;0;0
"De Wolden";1690;"De Wolden";24374;"04-05-2022";"17-05-2022";15;61.5;1;4.1;0;0
"Delft";503;"Delft";103581;"04-05-2022";"17-05-2022";124;119.7;2;1.9;0;0
"Den Helder";400;"Den Helder";56582;"04-05-2022";"17-05-2022";43;76;3;5.3;0;0
"Deurne";762;"Deurne";32437;"04-05-2022";"17-05-2022";8;24.7;1;3.1;0;0
"Deventer";150;"Deventer";101236;"04-05-2022";"17-05-2022";66;65.2;3;3;0;0
"Diemen";384;"Diemen";31334;"04-05-2022";"17-05-2022";54;172.3;0;0;0;0
"Dijk en Waard";1980;"Dijk en Waard";86722;"04-05-2022";"17-05-2022";79;91.1;1;1.2;0;0
"Dinkelland";1774;"Dinkelland";26606;"04-05-2022";"17-05-2022";22;82.7;1;3.8;0;0
"Doesburg";221;"Doesburg";11064;"04-05-2022";"17-05-2022";4;36.2;0;0;0;0
"Doetinchem";222;"Doetinchem";58270;"04-05-2022";"17-05-2022";51;87.5;1;1.7;0;0
"Dongen";766;"Dongen";26368;"04-05-2022";"17-05-2022";16;60.7;0;0;0;0
"Dordrecht";505;"Dordrecht";119115;"04-05-2022";"17-05-2022";109;91.5;4;3.4;0;0
"Drechterland";498;"Drechterland";19838;"04-05-2022";"17-05-2022";13;65.5;0;0;0;0
"Drimmelen";1719;"Drimmelen";27325;"04-05-2022";"17-05-2022";15;54.9;0;0;0;0
"Dronten";303;"Dronten";42011;"04-05-2022";"17-05-2022";30;71.4;0;0;0;0
"Druten";225;"Druten";18991;"04-05-2022";"17-05-2022";12;63.2;0;0;0;0
"Duiven";226;"Duiven";25066;"04-05-2022";"17-05-2022";15;59.8;0;0;0;0
"Echt-Susteren";1711;"Echt-Susteren";31751;"04-05-2022";"17-05-2022";24;75.6;0;0;0;0
"Edam-Volendam";385;"Edam-Volendam";36268;"04-05-2022";"17-05-2022";25;68.9;1;2.8;0;0
"Ede";228;"Ede";118530;"04-05-2022";"17-05-2022";105;88.6;8;6.7;0;0
"Eemnes";317;"Eemnes";9362;"04-05-2022";"17-05-2022";5;53.4;0;0;0;0
"Eemsdelta";1979;"Eemsdelta";45587;"04-05-2022";"17-05-2022";33;72.4;0;0;0;0
"Eersel";770;"Eersel";19528;"04-05-2022";"17-05-2022";6;30.7;0;0;0;0
"Eijsden-Margraten";1903;"Eijsden-Margraten";25900;"04-05-2022";"17-05-2022";10;38.6;0;0;0;0
"Eindhoven";772;"Eindhoven";235691;"04-05-2022";"17-05-2022";187;79.3;8;3.4;0;0
"Elburg";230;"Elburg";23429;"04-05-2022";"17-05-2022";11;47;0;0;0;0
"Emmen";114;"Emmen";107024;"04-05-2022";"17-05-2022";74;69.1;4;3.7;0;0
"Enkhuizen";388;"Enkhuizen";18637;"04-05-2022";"17-05-2022";8;42.9;0;0;0;0
"Enschede";153;"Enschede";159732;"04-05-2022";"17-05-2022";173;108.3;6;3.8;0;0
"Epe";232;"Epe";33198;"04-05-2022";"17-05-2022";19;57.2;0;0;0;0
"Ermelo";233;"Ermelo";27016;"04-05-2022";"17-05-2022";20;74;1;3.7;0;0
"Etten-Leur";777;"Etten-Leur";43869;"04-05-2022";"17-05-2022";28;63.8;2;4.6;0;0
"Geertruidenberg";779;"Geertruidenberg";21770;"04-05-2022";"17-05-2022";7;32.2;1;4.6;0;0
"Geldrop-Mierlo";1771;"Geldrop-Mierlo";40066;"04-05-2022";"17-05-2022";18;44.9;1;2.5;0;0
"Gemert-Bakel";1652;"Gemert-Bakel";30760;"04-05-2022";"17-05-2022";9;29.3;1;3.3;0;0
"Gennep";907;"Gennep";17035;"04-05-2022";"17-05-2022";3;17.6;0;0;0;0
"Gilze en Rijen";784;"Gilze en Rijen";26723;"04-05-2022";"17-05-2022";19;71.1;1;3.7;0;0
"Goeree-Overflakkee";1924;"Goeree-Overflakkee";50589;"04-05-2022";"17-05-2022";34;67.2;2;4;0;0
"Goes";664;"Goes";38594;"04-05-2022";"17-05-2022";35;90.7;1;2.6;0;0
"Goirle";785;"Goirle";23952;"04-05-2022";"17-05-2022";9;37.6;0;0;0;0
"Gooise Meren";1942;"Gooise Meren";58524;"04-05-2022";"17-05-2022";71;121.3;0;0;0;0
"Gorinchem";512;"Gorinchem";37410;"04-05-2022";"17-05-2022";59;157.7;0;0;0;0
"Gouda";513;"Gouda";73681;"04-05-2022";"17-05-2022";86;116.7;2;2.7;0;0
"Groningen";14;"Groningen";233273;"04-05-2022";"17-05-2022";233;99.9;3;1.3;1;0.4
"Gulpen-Wittem";1729;"Gulpen-Wittem";14206;"04-05-2022";"17-05-2022";9;63.4;0;0;0;0
"Haaksbergen";158;"Haaksbergen";24229;"04-05-2022";"17-05-2022";19;78.4;1;4.1;0;0
"Haarlem";392;"Haarlem";162543;"04-05-2022";"17-05-2022";231;142.1;7;4.3;0;0
"Haarlemmermeer";394;"Haarlemmermeer";157789;"04-05-2022";"17-05-2022";262;166;2;1.3;1;0.6
"Halderberge";1655;"Halderberge";30430;"04-05-2022";"17-05-2022";17;55.9;1;3.3;0;0
"Hardenberg";160;"Hardenberg";61357;"04-05-2022";"17-05-2022";27;44;0;0;0;0
"Harderwijk";243;"Harderwijk";48726;"04-05-2022";"17-05-2022";31;63.6;1;2.1;0;0
"Hardinxveld-Giessendam";523;"Hardinxveld-Giessendam";18413;"04-05-2022";"17-05-2022";8;43.4;1;5.4;0;0
"Harlingen";72;"Harlingen";15807;"04-05-2022";"17-05-2022";7;44.3;0;0;0;0
"Hattem";244;"Hattem";12228;"04-05-2022";"17-05-2022";12;98.1;0;0;0;0
"Heemskerk";396;"Heemskerk";39191;"04-05-2022";"17-05-2022";37;94.4;0;0;0;0
"Heemstede";397;"Heemstede";27545;"04-05-2022";"17-05-2022";35;127.1;0;0;0;0
"Heerde";246;"Heerde";18776;"04-05-2022";"17-05-2022";29;154.5;0;0;0;0
"Heerenveen";74;"Heerenveen";50650;"04-05-2022";"17-05-2022";29;57.3;3;5.9;0;0
"Heerlen";917;"Heerlen";86936;"04-05-2022";"17-05-2022";60;69;2;2.3;0;0
"Heeze-Leende";1658;"Heeze-Leende";16243;"04-05-2022";"17-05-2022";9;55.4;0;0;0;0
"Heiloo";399;"Heiloo";24144;"04-05-2022";"17-05-2022";21;87;1;4.1;0;0
"Hellendoorn";163;"Hellendoorn";35932;"04-05-2022";"17-05-2022";22;61.2;3;8.3;0;0
"Hellevoetsluis";530;"Hellevoetsluis";40312;"04-05-2022";"17-05-2022";39;96.7;2;5;0;0
"Helmond";794;"Helmond";92627;"04-05-2022";"17-05-2022";59;63.7;4;4.3;0;0
"Hendrik-Ido-Ambacht";531;"Hendrik-Ido-Ambacht";31258;"04-05-2022";"17-05-2022";44;140.8;2;6.4;0;0
"Hengelo";164;"Hengelo";81049;"04-05-2022";"17-05-2022";65;80.2;4;4.9;0;0
"Het Hogeland";1966;"Het Hogeland";47834;"04-05-2022";"17-05-2022";37;77.4;0;0;0;0
"Heumen";252;"Heumen";16569;"04-05-2022";"17-05-2022";10;60.4;0;0;0;0
"Heusden";797;"Heusden";45005;"04-05-2022";"17-05-2022";11;24.4;0;0;0;0
"Hillegom";534;"Hillegom";22197;"04-05-2022";"17-05-2022";13;58.6;0;0;0;0
"Hilvarenbeek";798;"Hilvarenbeek";15698;"04-05-2022";"17-05-2022";4;25.5;0;0;0;0
"Hilversum";402;"Hilversum";91235;"04-05-2022";"17-05-2022";110;120.6;2;2.2;0;0
"Hoeksche Waard";1963;"Hoeksche Waard";88047;"04-05-2022";"17-05-2022";71;80.6;2;2.3;0;0
"Hof van Twente";1735;"Hof van Twente";35040;"04-05-2022";"17-05-2022";19;54.2;1;2.9;0;0
"Hollands Kroon";1911;"Hollands Kroon";48583;"04-05-2022";"17-05-2022";24;49.4;3;6.2;0;0
"Hoogeveen";118;"Hoogeveen";55603;"04-05-2022";"17-05-2022";42;75.5;2;3.6;0;0
"Hoorn";405;"Hoorn";73619;"04-05-2022";"17-05-2022";87;118.2;1;1.4;0;0
"Horst aan de Maas";1507;"Horst aan de Maas";42487;"04-05-2022";"17-05-2022";22;51.8;2;4.7;0;0
"Houten";321;"Houten";50223;"04-05-2022";"17-05-2022";57;113.5;2;4;0;0
"Huizen";406;"Huizen";41090;"04-05-2022";"17-05-2022";43;104.6;0;0;1;2.4
"Hulst";677;"Hulst";27575;"04-05-2022";"17-05-2022";16;58;1;3.6;0;0
"IJsselstein";353;"IJsselstein";33819;"04-05-2022";"17-05-2022";38;112.4;0;0;0;0
"Kaag en Braassem";1884;"Kaag en Braassem";27541;"04-05-2022";"17-05-2022";32;116.2;1;3.6;0;0
"Kampen";166;"Kampen";54474;"04-05-2022";"17-05-2022";41;75.3;1;1.8;0;0
"Kapelle";678;"Kapelle";12882;"04-05-2022";"17-05-2022";8;62.1;0;0;0;0
"Katwijk";537;"Katwijk";65995;"04-05-2022";"17-05-2022";51;77.3;0;0;0;0
"Kerkrade";928;"Kerkrade";45442;"04-05-2022";"17-05-2022";15;33;0;0;0;0
"Koggenland";1598;"Koggenland";22940;"04-05-2022";"17-05-2022";17;74.1;1;4.4;0;0
"Krimpen aan den IJssel";542;"Krimpen aan den IJssel";29410;"04-05-2022";"17-05-2022";36;122.4;2;6.8;0;0
"Krimpenerwaard";1931;"Krimpenerwaard";56622;"04-05-2022";"17-05-2022";29;51.2;1;1.8;0;0
"Laarbeek";1659;"Laarbeek";22805;"04-05-2022";"17-05-2022";11;48.2;1;4.4;0;0
"Land van Cuijk";1982;"Land van Cuijk";90194;"04-05-2022";"17-05-2022";35;38.8;1;1.1;0;0
"Landgraaf";882;"Landgraaf";37262;"04-05-2022";"17-05-2022";18;48.3;1;2.7;0;0
"Landsmeer";415;"Landsmeer";11565;"04-05-2022";"17-05-2022";18;155.6;0;0;0;0
"Lansingerland";1621;"Lansingerland";63363;"04-05-2022";"17-05-2022";59;93.1;1;1.6;0;0
"Laren";417;"Laren";11398;"04-05-2022";"17-05-2022";14;122.8;0;0;0;0
"Leeuwarden";80;"Leeuwarden";124481;"04-05-2022";"17-05-2022";110;88.4;6;4.8;0;0
"Leiden";546;"Leiden";124093;"04-05-2022";"17-05-2022";211;170;1;0.8;0;0
"Leiderdorp";547;"Leiderdorp";27377;"04-05-2022";"17-05-2022";36;131.5;1;3.7;0;0
"Leidschendam-Voorburg";1916;"Leidschendam-Voorburg";76433;"04-05-2022";"17-05-2022";101;132.1;1;1.3;0;0
