"Gemeente";"Inwoners";"Van";"Tot";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"'s-Gravenhage";553417;"07-12-2022";"20-12-2022";324;58,5;23;4,2;0;0
"'s-Hertogenbosch";156538;"07-12-2022";"20-12-2022";87;55,6;10;6,4;0;0
"Aa en Hunze";25579;"07-12-2022";"20-12-2022";11;43;0;0;0;0
"Aalsmeer";32452;"07-12-2022";"20-12-2022";16;49,3;1;3,1;0;0
"Aalten";27100;"07-12-2022";"20-12-2022";4;14,8;0;0;0;0
"Achtkarspelen";27954;"07-12-2022";"20-12-2022";16;57,2;2;7,2;0;0
"Alblasserdam";20087;"07-12-2022";"20-12-2022";14;69,7;1;5;0;0
"Albrandswaard";25934;"07-12-2022";"20-12-2022";22;84,8;1;3,9;0;0
"Alkmaar";110783;"07-12-2022";"20-12-2022";45;40,6;15;13,5;0;0
"Almelo";73155;"07-12-2022";"20-12-2022";29;39,6;6;8,2;0;0
"Almere";217828;"07-12-2022";"20-12-2022";111;51;2;0,9;0;0
"Alphen aan den Rijn";112926;"07-12-2022";"20-12-2022";81;71,7;7;6,2;0;0
"Alphen-Chaam";10425;"07-12-2022";"20-12-2022";2;19,2;1;9,6;0;0
"Altena";57009;"07-12-2022";"20-12-2022";8;14;1;1,8;0;0
"Ameland";3757;"07-12-2022";"20-12-2022";1;26,6;0;0;0;0
"Amersfoort";158590;"07-12-2022";"20-12-2022";155;97,7;1;0,6;0;0
"Amstelveen";92331;"07-12-2022";"20-12-2022";74;80,1;0;0;0;0
"Amsterdam";903399;"07-12-2022";"20-12-2022";667;73,8;42;4,6;0;0
"Apeldoorn";165611;"07-12-2022";"20-12-2022";117;70,6;5;3;0;0
"Arnhem";163888;"07-12-2022";"20-12-2022";102;62,2;1;0,6;0;0
"Assen";68979;"07-12-2022";"20-12-2022";60;87;0;0;0;0
"Asten";17068;"07-12-2022";"20-12-2022";1;5,9;1;5,9;0;0
"Baarle-Nassau";6931;"07-12-2022";"20-12-2022";0;0;1;14,4;0;0
"Baarn";24876;"07-12-2022";"20-12-2022";19;76,4;1;4;1;4
"Barendrecht";48714;"07-12-2022";"20-12-2022";35;71,8;2;4,1;0;0
"Barneveld";60584;"07-12-2022";"20-12-2022";31;51,2;0;0;0;0
"Beek";15817;"07-12-2022";"20-12-2022";11;69,5;0;0;0;0
"Beekdaelen";35922;"07-12-2022";"20-12-2022";24;66,8;0;0;0;0
"Beesel";13408;"07-12-2022";"20-12-2022";6;44,7;0;0;0;0
"Berg en Dal";34951;"07-12-2022";"20-12-2022";32;91,6;7;20;0;0
"Bergeijk";18879;"07-12-2022";"20-12-2022";4;21,2;0;0;0;0
"Bergen (L.)";13106;"07-12-2022";"20-12-2022";6;45,8;0;0;0;0
"Bergen (NH.)";29723;"07-12-2022";"20-12-2022";22;74;4;13,5;0;0
"Bergen op Zoom";67894;"07-12-2022";"20-12-2022";26;38,3;1;1,5;0;0
"Berkelland";43850;"07-12-2022";"20-12-2022";21;47,9;1;2,3;0;0
"Bernheze";31715;"07-12-2022";"20-12-2022";12;37,8;0;0;0;0
"Best";30608;"07-12-2022";"20-12-2022";10;32,7;1;3,3;0;0
"Beuningen";26235;"07-12-2022";"20-12-2022";16;61;2;7,6;0;0
"Beverwijk";42084;"07-12-2022";"20-12-2022";18;42,8;0;0;0;0
"Bladel";20718;"07-12-2022";"20-12-2022";3;14,5;0;0;0;0
"Blaricum";12359;"07-12-2022";"20-12-2022";10;80,9;0;0;0;0
"Bloemendaal";23732;"07-12-2022";"20-12-2022";15;63,2;0;0;0;0
"Bodegraven-Reeuwijk";35752;"07-12-2022";"20-12-2022";11;30,8;1;2,8;0;0
"Boekel";11030;"07-12-2022";"20-12-2022";4;36,3;0;0;0;0
"Borger-Odoorn";25681;"07-12-2022";"20-12-2022";22;85,7;0;0;0;0
"Borne";24007;"07-12-2022";"20-12-2022";11;45,8;2;8,3;0;0
"Borsele";22847;"07-12-2022";"20-12-2022";19;83,2;0;0;0;0
"Boxtel";33129;"07-12-2022";"20-12-2022";16;48,3;3;9,1;0;0
"Breda";184702;"07-12-2022";"20-12-2022";76;41,1;12;6,5;0;0
"Brielle";17704;"07-12-2022";"20-12-2022";7;39,5;1;5,6;0;0
"Bronckhorst";36077;"07-12-2022";"20-12-2022";42;116,4;3;8,3;0;0
"Brummen";20890;"07-12-2022";"20-12-2022";12;57,4;1;4,8;0;0
"Brunssum";27674;"07-12-2022";"20-12-2022";23;83,1;0;0;1;3,6
"Bunnik";15590;"07-12-2022";"20-12-2022";14;89,8;0;0;0;0
"Bunschoten";22325;"07-12-2022";"20-12-2022";18;80,6;0;0;0;0
"Buren";27155;"07-12-2022";"20-12-2022";26;95,7;1;3,7;0;0
"Capelle aan den IJssel";67188;"07-12-2022";"20-12-2022";30;44,7;3;4,5;0;0
"Castricum";36263;"07-12-2022";"20-12-2022";18;49,6;0;0;0;0
"Coevorden";35517;"07-12-2022";"20-12-2022";37;104,2;1;2,8;0;0
"Cranendonck";20669;"07-12-2022";"20-12-2022";8;38,7;1;4,8;0;0
"Culemborg";29397;"07-12-2022";"20-12-2022";11;37,4;3;10,2;0;0
"Dalfsen";29162;"07-12-2022";"20-12-2022";12;41,1;0;0;0;0
"Dantumadiel";18957;"07-12-2022";"20-12-2022";16;84,4;1;5,3;0;0
"De Bilt";43508;"07-12-2022";"20-12-2022";25;57,5;0;0;1;2,3
"De Fryske Marren";51597;"07-12-2022";"20-12-2022";24;46,5;5;9,7;0;0
"De Ronde Venen";44955;"07-12-2022";"20-12-2022";40;89;5;11,1;0;0
"De Wolden";24511;"07-12-2022";"20-12-2022";8;32,6;0;0;0;0
"Delft";104572;"07-12-2022";"20-12-2022";36;34,4;6;5,7;0;0
"Den Helder";56334;"07-12-2022";"20-12-2022";38;67,5;6;10,7;0;0
"Deurne";32606;"07-12-2022";"20-12-2022";6;18,4;1;3,1;0;0
"Deventer";101446;"07-12-2022";"20-12-2022";67;66;3;3;0;0
"Diemen";31822;"07-12-2022";"20-12-2022";28;88;0;0;0;0
"Dijk en Waard";87695;"07-12-2022";"20-12-2022";40;45,6;9;10,3;0;0
"Dinkelland";26594;"07-12-2022";"20-12-2022";16;60,2;2;7,5;0;0
"Doesburg";11036;"07-12-2022";"20-12-2022";11;99,7;0;0;0;0
"Doetinchem";58546;"07-12-2022";"20-12-2022";55;93,9;0;0;0;0
"Dongen";26483;"07-12-2022";"20-12-2022";20;75,5;2;7,6;0;0
"Dordrecht";119537;"07-12-2022";"20-12-2022";95;79,5;1;0,8;0;0
"Drechterland";19983;"07-12-2022";"20-12-2022";4;20;1;5;0;0
"Drimmelen";27476;"07-12-2022";"20-12-2022";6;21,8;2;7,3;1;3,6
"Dronten";42865;"07-12-2022";"20-12-2022";34;79,3;3;7;0;0
"Druten";19178;"07-12-2022";"20-12-2022";11;57,4;1;5,2;0;0
"Duiven";24946;"07-12-2022";"20-12-2022";12;48,1;0;0;0;0
"Echt-Susteren";31731;"07-12-2022";"20-12-2022";37;116,6;0;0;0;0
