"Gemeente";"Inwoners";"Van";"Tot";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000"
"'s-Gravenhage";553417;"08-03-2023";"21-03-2023";150;27,1;32;5,8
"'s-Hertogenbosch";156538;"08-03-2023";"21-03-2023";55;35,1;17;10,9
"Aa en Hunze";25579;"08-03-2023";"21-03-2023";5;19,5;1;3,9
"Aalsmeer";32452;"08-03-2023";"21-03-2023";11;33,9;0;0
"Aalten";27100;"08-03-2023";"21-03-2023";11;40,6;7;25,8
"Achtkarspelen";27954;"08-03-2023";"21-03-2023";5;17,9;0;0
"Alblasserdam";20087;"08-03-2023";"21-03-2023";11;54,8;3;14,9
"Albrandswaard";25934;"08-03-2023";"21-03-2023";8;30,8;3;11,6
"Alkmaar";110783;"08-03-2023";"21-03-2023";32;28,9;10;9
"Almelo";73155;"08-03-2023";"21-03-2023";25;34,2;6;8,2
"Almere";217828;"08-03-2023";"21-03-2023";62;28,5;0;0
"Alphen aan den Rijn";112926;"08-03-2023";"21-03-2023";27;23,9;5;4,4
"Alphen-Chaam";10425;"08-03-2023";"21-03-2023";0;0;1;9,6
"Altena";57009;"08-03-2023";"21-03-2023";12;21;4;7
"Ameland";3757;"08-03-2023";"21-03-2023";0;0;0;0
"Amersfoort";158590;"08-03-2023";"21-03-2023";38;24;1;0,6
"Amstelveen";92331;"08-03-2023";"21-03-2023";24;26;1;1,1
"Amsterdam";903399;"08-03-2023";"21-03-2023";189;20,9;34;3,8
"Apeldoorn";165611;"08-03-2023";"21-03-2023";66;39,9;22;13,3
"Arnhem";163888;"08-03-2023";"21-03-2023";65;39,7;1;0,6
"Assen";68979;"08-03-2023";"21-03-2023";19;27,5;0;0
"Asten";17068;"08-03-2023";"21-03-2023";8;46,9;4;23,4
"Baarle-Nassau";6931;"08-03-2023";"21-03-2023";0;0;0;0
"Baarn";24876;"08-03-2023";"21-03-2023";3;12,1;0;0
"Barendrecht";48714;"08-03-2023";"21-03-2023";9;18,5;2;4,1
"Barneveld";60584;"08-03-2023";"21-03-2023";9;14,9;1;1,7
"Beek";15817;"08-03-2023";"21-03-2023";6;37,9;1;6,3
"Beekdaelen";35922;"08-03-2023";"21-03-2023";9;25,1;4;11,1
"Beesel";13408;"08-03-2023";"21-03-2023";2;14,9;0;0
"Berg en Dal";34951;"08-03-2023";"21-03-2023";31;88,7;11;31,5
"Bergeijk";18879;"08-03-2023";"21-03-2023";6;31,8;1;5,3
"Bergen (L.)";13106;"08-03-2023";"21-03-2023";1;7,6;1;7,6
"Bergen (NH.)";29723;"08-03-2023";"21-03-2023";9;30,3;5;16,8
"Bergen op Zoom";67894;"08-03-2023";"21-03-2023";15;22,1;10;14,7
"Berkelland";43850;"08-03-2023";"21-03-2023";10;22,8;2;4,6
"Bernheze";31715;"08-03-2023";"21-03-2023";9;28,4;5;15,8
"Best";30608;"08-03-2023";"21-03-2023";5;16,3;0;0
"Beuningen";26235;"08-03-2023";"21-03-2023";19;72,4;3;11,4
"Beverwijk";42084;"08-03-2023";"21-03-2023";11;26,1;0;0
"Bladel";20718;"08-03-2023";"21-03-2023";6;29;1;4,8
"Blaricum";12359;"08-03-2023";"21-03-2023";1;8,1;0;0
"Bloemendaal";23732;"08-03-2023";"21-03-2023";5;21,1;1;4,2
"Bodegraven-Reeuwijk";35752;"08-03-2023";"21-03-2023";17;47,5;6;16,8
"Boekel";11030;"08-03-2023";"21-03-2023";2;18,1;0;0
"Borger-Odoorn";25681;"08-03-2023";"21-03-2023";3;11,7;0;0
"Borne";24007;"08-03-2023";"21-03-2023";7;29,2;3;12,5
"Borsele";22847;"08-03-2023";"21-03-2023";5;21,9;1;4,4
