"Gemeente";"Gemnr";"Gemeente";"Bev";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"'s-Gravenhage";518;"'s-Gravenhage";548320;"15-12-2021";"28-12-2021";5064;923.5;65;11.9;8;1.5
"'s-Hertogenbosch";796;"'s-Hertogenbosch";155490;"15-12-2021";"28-12-2021";1467;943.5;15;9.6;3;1.9
"Aa en Hunze";1680;"Aa en Hunze";25399;"15-12-2021";"28-12-2021";336;1322.9;1;3.9;1;3.9
"Aalsmeer";358;"Aalsmeer";31991;"15-12-2021";"28-12-2021";331;1034.7;4;12.5;1;3.1
"Aalten";197;"Aalten";27120;"15-12-2021";"28-12-2021";154;567.8;4;14.7;0;0
"Achtkarspelen";59;"Achtkarspelen";27900;"15-12-2021";"28-12-2021";368;1319;0;0;1;3.6
"Alblasserdam";482;"Alblasserdam";20136;"15-12-2021";"28-12-2021";160;794.6;5;24.8;0;0
"Albrandswaard";613;"Albrandswaard";25814;"15-12-2021";"28-12-2021";277;1073.1;3;11.6;0;0
"Alkmaar";361;"Alkmaar";109896;"15-12-2021";"28-12-2021";1234;1122.9;19;17.3;4;3.6
"Almelo";141;"Almelo";73132;"15-12-2021";"28-12-2021";559;764.4;8;10.9;2;2.7
"Almere";34;"Almere";214715;"15-12-2021";"28-12-2021";2115;985;27;12.6;3;1.4
"Alphen aan den Rijn";484;"Alphen aan den Rijn";112587;"15-12-2021";"28-12-2021";1041;924.6;4;3.6;2;1.8
"Alphen-Chaam";1723;"Alphen-Chaam";10373;"15-12-2021";"28-12-2021";109;1050.8;1;9.6;0;0
"Altena";1959;"Altena";56352;"15-12-2021";"28-12-2021";469;832.3;6;10.6;1;1.8
"Ameland";60;"Ameland";3746;"15-12-2021";"28-12-2021";15;400.4;0;0;0;0
"Amersfoort";307;"Amersfoort";157462;"15-12-2021";"28-12-2021";1784;1133;22;14;1;0.6
"Amstelveen";362;"Amstelveen";90829;"15-12-2021";"28-12-2021";823;906.1;4;4.4;2;2.2
"Amsterdam";363;"Amsterdam";873338;"15-12-2021";"28-12-2021";9179;1051;82;9.4;14;1.6
"Apeldoorn";200;"Apeldoorn";164781;"15-12-2021";"28-12-2021";1576;956.4;30;18.2;4;2.4
"Arnhem";202;"Arnhem";162424;"15-12-2021";"28-12-2021";1498;922.3;15;9.2;3;1.8
"Assen";106;"Assen";68836;"15-12-2021";"28-12-2021";495;719.1;5;7.3;1;1.5
"Asten";743;"Asten";16817;"15-12-2021";"28-12-2021";151;897.9;1;5.9;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6899;"15-12-2021";"28-12-2021";59;855.2;0;0;0;0
