"Gemeente";"Inwoners";"Van";"Tot";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"'s-Gravenhage";553417;"05-10-2022";"18-10-2022";906;163,7;29;5,2;2;0,4
"'s-Hertogenbosch";156538;"05-10-2022";"18-10-2022";330;210,8;10;6,4;0;0
"Aa en Hunze";25579;"05-10-2022";"18-10-2022";72;281,5;0;0;0;0
"Aalsmeer";32452;"05-10-2022";"18-10-2022";77;237,3;0;0;0;0
"Aalten";27100;"05-10-2022";"18-10-2022";56;206,6;3;11,1;0;0
"Achtkarspelen";27954;"05-10-2022";"18-10-2022";35;125,2;1;3,6;0;0
"Alblasserdam";20087;"05-10-2022";"18-10-2022";31;154,3;2;10;0;0
"Albrandswaard";25934;"05-10-2022";"18-10-2022";56;215,9;3;11,6;0;0
"Alkmaar";110783;"05-10-2022";"18-10-2022";246;222,1;12;10,8;0;0
"Almelo";73155;"05-10-2022";"18-10-2022";186;254,3;7;9,6;0;0
"Almere";217828;"05-10-2022";"18-10-2022";399;183,2;9;4,1;0;0
"Alphen aan den Rijn";112926;"05-10-2022";"18-10-2022";328;290,5;4;3,5;2;1,8
"Alphen-Chaam";10425;"05-10-2022";"18-10-2022";25;239,8;1;9,6;0;0
"Altena";57009;"05-10-2022";"18-10-2022";90;157,9;7;12,3;0;0
"Ameland";3757;"05-10-2022";"18-10-2022";0;0;0;0;0;0
"Amersfoort";158590;"05-10-2022";"18-10-2022";456;287,5;5;3,2;0;0
"Amstelveen";92331;"05-10-2022";"18-10-2022";214;231,8;4;4,3;0;0
"Amsterdam";903399;"05-10-2022";"18-10-2022";1595;176,6;32;3,5;4;0,4
"Apeldoorn";165611;"05-10-2022";"18-10-2022";548;330,9;20;12,1;2;1,2
"Arnhem";163888;"05-10-2022";"18-10-2022";441;269,1;2;1,2;0;0
"Assen";68979;"05-10-2022";"18-10-2022";156;226,2;0;0;0;0
"Asten";17068;"05-10-2022";"18-10-2022";36;210,9;1;5,9;0;0
"Baarle-Nassau";6931;"05-10-2022";"18-10-2022";12;173,1;0;0;0;0
"Baarn";24876;"05-10-2022";"18-10-2022";63;253,3;3;12,1;0;0
"Barendrecht";48714;"05-10-2022";"18-10-2022";113;232;2;4,1;0;0
"Barneveld";60584;"05-10-2022";"18-10-2022";139;229,4;7;11,6;0;0
"Beek";15817;"05-10-2022";"18-10-2022";71;448,9;1;6,3;0;0
"Beekdaelen";35922;"05-10-2022";"18-10-2022";139;386,9;0;0;0;0
"Beesel";13408;"05-10-2022";"18-10-2022";50;372,9;0;0;0;0
"Berg en Dal";34951;"05-10-2022";"18-10-2022";93;266,1;3;8,6;1;2,9
"Bergeijk";18879;"05-10-2022";"18-10-2022";45;238,4;1;5,3;0;0
"Bergen (L.)";13106;"05-10-2022";"18-10-2022";35;267,1;0;0;0;0
"Bergen (NH.)";29723;"05-10-2022";"18-10-2022";85;286;4;13,5;0;0
"Bergen op Zoom";67894;"05-10-2022";"18-10-2022";146;215;14;20,6;0;0
"Berkelland";43850;"05-10-2022";"18-10-2022";102;232,6;4;9,1;0;0
"Bernheze";31715;"05-10-2022";"18-10-2022";57;179,7;3;9,5;0;0
"Best";30608;"05-10-2022";"18-10-2022";67;218,9;1;3,3;0;0
"Beuningen";26235;"05-10-2022";"18-10-2022";90;343,1;4;15,2;0;0
"Beverwijk";42084;"05-10-2022";"18-10-2022";95;225,7;0;0;0;0
"Bladel";20718;"05-10-2022";"18-10-2022";39;188,2;0;0;0;0
"Blaricum";12359;"05-10-2022";"18-10-2022";30;242,7;1;8,1;0;0
"Bloemendaal";23732;"05-10-2022";"18-10-2022";83;349,7;2;8,4;0;0
"Bodegraven-Reeuwijk";35752;"05-10-2022";"18-10-2022";87;243,3;0;0;0;0
"Boekel";11030;"05-10-2022";"18-10-2022";35;317,3;2;18,1;0;0
"Borger-Odoorn";25681;"05-10-2022";"18-10-2022";44;171,3;0;0;0;0
"Borne";24007;"05-10-2022";"18-10-2022";60;249,9;3;12,5;0;0
"Borsele";22847;"05-10-2022";"18-10-2022";58;253,9;1;4,4;0;0
"Boxtel";33129;"05-10-2022";"18-10-2022";90;271,7;4;12,1;0;0
"Breda";184702;"05-10-2022";"18-10-2022";504;272,9;21;11,4;0;0
"Brielle";17704;"05-10-2022";"18-10-2022";39;220,3;4;22,6;0;0
"Bronckhorst";36077;"05-10-2022";"18-10-2022";86;238,4;3;8,3;2;5,5
"Brummen";20890;"05-10-2022";"18-10-2022";42;201,1;2;9,6;1;4,8
"Brunssum";27674;"05-10-2022";"18-10-2022";92;332,4;4;14,5;0;0
"Bunnik";15590;"05-10-2022";"18-10-2022";37;237,3;5;32,1;0;0
"Bunschoten";22325;"05-10-2022";"18-10-2022";54;241,9;1;4,5;0;0
"Buren";27155;"05-10-2022";"18-10-2022";74;272,5;4;14,7;0;0
"Capelle aan den IJssel";67188;"05-10-2022";"18-10-2022";106;157,8;1;1,5;1;1,5
"Castricum";36263;"05-10-2022";"18-10-2022";111;306,1;2;5,5;1;2,8
"Coevorden";35517;"05-10-2022";"18-10-2022";77;216,8;5;14,1;0;0
"Cranendonck";20669;"05-10-2022";"18-10-2022";52;251,6;1;4,8;0;0
"Culemborg";29397;"05-10-2022";"18-10-2022";62;210,9;2;6,8;0;0
"Dalfsen";29162;"05-10-2022";"18-10-2022";73;250,3;2;6,9;0;0
"Dantumadiel";18957;"05-10-2022";"18-10-2022";41;216,3;1;5,3;0;0
"De Bilt";43508;"05-10-2022";"18-10-2022";127;291,9;6;13,8;1;2,3
"De Fryske Marren";51597;"05-10-2022";"18-10-2022";113;219;6;11,6;0;0
"De Ronde Venen";44955;"05-10-2022";"18-10-2022";147;327;3;6,7;0;0
"De Wolden";24511;"05-10-2022";"18-10-2022";62;252,9;5;20,4;0;0
"Delft";104572;"05-10-2022";"18-10-2022";202;193,2;6;5,7;1;1
"Den Helder";56334;"05-10-2022";"18-10-2022";87;154,4;8;14,2;0;0
"Deurne";32606;"05-10-2022";"18-10-2022";39;119,6;1;3,1;0;0
"Deventer";101446;"05-10-2022";"18-10-2022";247;243,5;13;12,8;0;0
"Diemen";31822;"05-10-2022";"18-10-2022";81;254,5;1;3,1;0;0
"Dijk en Waard";87695;"05-10-2022";"18-10-2022";156;177,9;17;19,4;0;0
"Dinkelland";26594;"05-10-2022";"18-10-2022";69;259,5;3;11,3;0;0
"Doesburg";11036;"05-10-2022";"18-10-2022";17;154;1;9,1;0;0
"Doetinchem";58546;"05-10-2022";"18-10-2022";208;355,3;5;8,5;0;0
"Dongen";26483;"05-10-2022";"18-10-2022";81;305,9;1;3,8;0;0
"Dordrecht";119537;"05-10-2022";"18-10-2022";320;267,7;6;5;0;0
"Drechterland";19983;"05-10-2022";"18-10-2022";58;290,2;0;0;0;0
"Drimmelen";27476;"05-10-2022";"18-10-2022";86;313;7;25,5;0;0
"Dronten";42865;"05-10-2022";"18-10-2022";68;158,6;2;4,7;0;0
"Druten";19178;"05-10-2022";"18-10-2022";62;323,3;4;20,9;0;0
"Duiven";24946;"05-10-2022";"18-10-2022";77;308,7;0;0;0;0
"Echt-Susteren";31731;"05-10-2022";"18-10-2022";163;513,7;1;3,2;0;0
"Edam-Volendam";36471;"05-10-2022";"18-10-2022";44;120,6;1;2,7;0;0
"Ede";119986;"05-10-2022";"18-10-2022";308;256,7;6;5;1;0,8
"Eemnes";9450;"05-10-2022";"18-10-2022";12;127;0;0;0;0
"Eemsdelta";45389;"05-10-2022";"18-10-2022";106;233,5;0;0;0;0
"Eersel";19823;"05-10-2022";"18-10-2022";59;297,6;0;0;0;0
"Eijsden-Margraten";25857;"05-10-2022";"18-10-2022";73;282,3;0;0;0;0
"Eindhoven";238326;"05-10-2022";"18-10-2022";504;211,5;13;5,5;0;0
"Elburg";23740;"05-10-2022";"18-10-2022";67;282,2;1;4,2;0;0
