"Gemeente";"Gemnr";"Gemeente";"Bev";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"'s-Gravenhage";518;"'s-Gravenhage";548320;"24-11-2021";"07-12-2021";6780;1236.5;75;13.7;13;2.4
"'s-Hertogenbosch";796;"'s-Hertogenbosch";155490;"24-11-2021";"07-12-2021";2898;1863.8;21;13.5;4;2.6
"Aa en Hunze";1680;"Aa en Hunze";25399;"24-11-2021";"07-12-2021";216;850.4;2;7.9;0;0
"Aalsmeer";358;"Aalsmeer";31991;"24-11-2021";"07-12-2021";542;1694.2;5;15.6;3;9.4
"Aalten";197;"Aalten";27120;"24-11-2021";"07-12-2021";345;1272.1;5;18.4;1;3.7
"Achtkarspelen";59;"Achtkarspelen";27900;"24-11-2021";"07-12-2021";509;1824.4;8;28.7;0;0
"Alblasserdam";482;"Alblasserdam";20136;"24-11-2021";"07-12-2021";337;1673.6;5;24.8;1;5
"Albrandswaard";613;"Albrandswaard";25814;"24-11-2021";"07-12-2021";470;1820.7;3;11.6;0;0
"Alkmaar";361;"Alkmaar";109896;"24-11-2021";"07-12-2021";1778;1617.9;24;21.8;1;0.9
"Almelo";141;"Almelo";73132;"24-11-2021";"07-12-2021";990;1353.7;18;24.6;3;4.1
"Almere";34;"Almere";214715;"24-11-2021";"07-12-2021";2900;1350.6;52;24.2;0;0
"Alphen aan den Rijn";484;"Alphen aan den Rijn";112587;"24-11-2021";"07-12-2021";1741;1546.4;17;15.1;7;6.2
"Alphen-Chaam";1723;"Alphen-Chaam";10373;"24-11-2021";"07-12-2021";187;1802.8;3;28.9;0;0
"Altena";1959;"Altena";56352;"24-11-2021";"07-12-2021";1033;1833.1;16;28.4;0;0
"Ameland";60;"Ameland";3746;"24-11-2021";"07-12-2021";13;347;0;0;0;0
"Amersfoort";307;"Amersfoort";157462;"24-11-2021";"07-12-2021";2992;1900.1;21;13.3;4;2.5
"Amstelveen";362;"Amstelveen";90829;"24-11-2021";"07-12-2021";1250;1376.2;7;7.7;4;4.4
"Amsterdam";363;"Amsterdam";873338;"24-11-2021";"07-12-2021";10421;1193.2;137;15.7;14;1.6
"Apeldoorn";200;"Apeldoorn";164781;"24-11-2021";"07-12-2021";2293;1391.5;44;26.7;8;4.9
"Arnhem";202;"Arnhem";162424;"24-11-2021";"07-12-2021";2682;1651.2;23;14.2;5;3.1
"Assen";106;"Assen";68836;"24-11-2021";"07-12-2021";800;1162.2;11;16;4;5.8
"Asten";743;"Asten";16817;"24-11-2021";"07-12-2021";416;2473.7;7;41.6;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6899;"24-11-2021";"07-12-2021";150;2174.2;2;29;0;0
"Baarn";308;"Baarn";24792;"24-11-2021";"07-12-2021";522;2105.5;2;8.1;1;4
"Barendrecht";489;"Barendrecht";48643;"24-11-2021";"07-12-2021";807;1659;12;24.7;1;2.1
"Barneveld";203;"Barneveld";59992;"24-11-2021";"07-12-2021";1146;1910.3;15;25;3;5
"Beek";888;"Beek";15875;"24-11-2021";"07-12-2021";359;2261.4;6;37.8;1;6.3
"Beekdaelen";1954;"Beekdaelen";36065;"24-11-2021";"07-12-2021";765;2121.2;10;27.7;3;8.3
"Beemster";370;"Beemster";10110;"24-11-2021";"07-12-2021";208;2057.4;3;29.7;0;0
