"Gemeente";"Inwoners";"Van";"Tot";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"'s-Gravenhage";553417;"19-10-2022";"01-11-2022";736;133;26;4,7;1;0,2
"'s-Hertogenbosch";156538;"19-10-2022";"01-11-2022";212;135,4;8;5,1;0;0
"Aa en Hunze";25579;"19-10-2022";"01-11-2022";31;121,2;0;0;0;0
"Aalsmeer";32452;"19-10-2022";"01-11-2022";39;120,2;1;3,1;0;0
"Aalten";27100;"19-10-2022";"01-11-2022";46;169,7;1;3,7;0;0
"Achtkarspelen";27954;"19-10-2022";"01-11-2022";26;93;1;3,6;0;0
"Alblasserdam";20087;"19-10-2022";"01-11-2022";25;124,5;1;5;0;0
"Albrandswaard";25934;"19-10-2022";"01-11-2022";35;135;0;0;0;0
"Alkmaar";110783;"19-10-2022";"01-11-2022";152;137,2;11;9,9;0;0
"Almelo";73155;"19-10-2022";"01-11-2022";81;110,7;4;5,5;0;0
"Almere";217828;"19-10-2022";"01-11-2022";261;119,8;14;6,4;0;0
"Alphen aan den Rijn";112926;"19-10-2022";"01-11-2022";209;185,1;10;8,9;0;0
"Alphen-Chaam";10425;"19-10-2022";"01-11-2022";23;220,6;1;9,6;0;0
"Altena";57009;"19-10-2022";"01-11-2022";30;52,6;4;7;0;0
"Ameland";3757;"19-10-2022";"01-11-2022";3;79,9;0;0;0;0
"Amersfoort";158590;"19-10-2022";"01-11-2022";288;181,6;19;12;1;0,6
"Amstelveen";92331;"19-10-2022";"01-11-2022";144;156;1;1,1;0;0
"Amsterdam";903399;"19-10-2022";"01-11-2022";1136;125,7;37;4,1;1;0,1
"Apeldoorn";165611;"19-10-2022";"01-11-2022";355;214,4;13;7,8;2;1,2
"Arnhem";163888;"19-10-2022";"01-11-2022";257;156,8;1;0,6;0;0
"Assen";68979;"19-10-2022";"01-11-2022";132;191,4;3;4,3;0;0
"Asten";17068;"19-10-2022";"01-11-2022";26;152,3;3;17,6;0;0
"Baarle-Nassau";6931;"19-10-2022";"01-11-2022";4;57,7;1;14,4;0;0
"Baarn";24876;"19-10-2022";"01-11-2022";46;184,9;4;16,1;0;0
"Barendrecht";48714;"19-10-2022";"01-11-2022";89;182,7;7;14,4;0;0
"Barneveld";60584;"19-10-2022";"01-11-2022";70;115,5;4;6,6;1;1,7
"Beek";15817;"19-10-2022";"01-11-2022";47;297,1;0;0;0;0
"Beekdaelen";35922;"19-10-2022";"01-11-2022";83;231,1;0;0;0;0
"Beesel";13408;"19-10-2022";"01-11-2022";27;201,4;0;0;0;0
"Berg en Dal";34951;"19-10-2022";"01-11-2022";70;200,3;3;8,6;0;0
"Bergeijk";18879;"19-10-2022";"01-11-2022";21;111,2;2;10,6;0;0
"Bergen (L.)";13106;"19-10-2022";"01-11-2022";16;122,1;0;0;0;0
"Bergen (NH.)";29723;"19-10-2022";"01-11-2022";42;141,3;5;16,8;0;0
"Bergen op Zoom";67894;"19-10-2022";"01-11-2022";90;132,6;4;5,9;0;0
"Berkelland";43850;"19-10-2022";"01-11-2022";59;134,5;4;9,1;0;0
"Bernheze";31715;"19-10-2022";"01-11-2022";44;138,7;1;3,2;0;0
"Best";30608;"19-10-2022";"01-11-2022";45;147;2;6,5;0;0
"Beuningen";26235;"19-10-2022";"01-11-2022";45;171,5;1;3,8;1;3,8
