"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Aa en Hunze";1680;"Aa en Hunze";25445;"10-02-2021";"23-02-2021";52;204.4;0;0;2;7.9
"Aalsmeer";358;"Aalsmeer";31859;"10-02-2021";"23-02-2021";79;248;0;0;0;0
"Aalten";197;"Aalten";27121;"10-02-2021";"23-02-2021";68;250.7;0;0;0;0
"Achtkarspelen";59;"Achtkarspelen";27843;"10-02-2021";"23-02-2021";157;563.9;3;10.8;6;21.5
"Alblasserdam";482;"Alblasserdam";20165;"10-02-2021";"23-02-2021";52;257.9;0;0;0;0
"Albrandswaard";613;"Albrandswaard";25590;"10-02-2021";"23-02-2021";39;152.4;0;0;0;0
"Alkmaar";361;"Alkmaar";109436;"10-02-2021";"23-02-2021";436;398.4;2;1.8;2;1.8
"Almelo";141;"Almelo";73107;"10-02-2021";"23-02-2021";259;354.3;4;5.5;2;2.7
"Almere";34;"Almere";211893;"10-02-2021";"23-02-2021";556;262.4;9;4.2;6;2.8
"Alphen aan den Rijn";484;"Alphen aan den Rijn";111897;"10-02-2021";"23-02-2021";360;321.7;3;2.7;9;8
"Alphen-Chaam";1723;"Alphen-Chaam";10203;"10-02-2021";"23-02-2021";25;245;1;9.8;0;0
"Altena";1959;"Altena";55967;"10-02-2021";"23-02-2021";156;278.7;0;0;0;0
"Ameland";60;"Ameland";3716;"10-02-2021";"23-02-2021";6;161.5;0;0;0;0
"Amersfoort";307;"Amersfoort";157276;"10-02-2021";"23-02-2021";397;252.4;4;2.5;11;7
"Amstelveen";362;"Amstelveen";91675;"10-02-2021";"23-02-2021";172;187.6;5;5.5;2;2.2
"Amsterdam";363;"Amsterdam";872757;"10-02-2021";"23-02-2021";2485;284.7;29;3.3;28;3.2
"Apeldoorn";200;"Apeldoorn";163818;"10-02-2021";"23-02-2021";283;172.8;4;2.4;1;0.6
"Arnhem";202;"Arnhem";161348;"10-02-2021";"23-02-2021";252;156.2;1;0.6;4;2.5
"Assen";106;"Assen";68599;"10-02-2021";"23-02-2021";198;288.6;1;1.5;0;0
"Asten";743;"Asten";16721;"10-02-2021";"23-02-2021";66;394.7;1;6;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6859;"10-02-2021";"23-02-2021";15;218.7;0;0;0;0
"Baarn";308;"Baarn";24868;"10-02-2021";"23-02-2021";70;281.5;0;0;0;0
"Barendrecht";489;"Barendrecht";48714;"10-02-2021";"23-02-2021";146;299.7;4;8.2;0;0
"Barneveld";203;"Barneveld";59082;"10-02-2021";"23-02-2021";161;272.5;1;1.7;3;5.1
"Beek";888;"Beek";15865;"10-02-2021";"23-02-2021";17;107.2;0;0;0;0
"Beekdaelen";1954;"Beekdaelen";35938;"10-02-2021";"23-02-2021";95;264.3;1;2.8;3;8.3
"Beemster";370;"Beemster";10022;"10-02-2021";"23-02-2021";55;548.8;0;0;0;0
"Beesel";889;"Beesel";13482;"10-02-2021";"23-02-2021";28;207.7;0;0;1;7.4
"Berg en Dal";1945;"Berg en Dal";34992;"10-02-2021";"23-02-2021";72;205.8;0;0;3;8.6
"Bergeijk";1724;"Bergeijk";18635;"10-02-2021";"23-02-2021";107;574.2;0;0;0;0
"Bergen (L.)";893;"Bergen (L.)";13085;"10-02-2021";"23-02-2021";73;557.9;0;0;0;0
"Bergen (NH.)";373;"Bergen (NH.)";29839;"10-02-2021";"23-02-2021";89;298.3;1;3.4;1;3.4
"Bergen op Zoom";748;"Bergen op Zoom";67496;"10-02-2021";"23-02-2021";166;245.9;1;1.5;1;1.5
"Berkelland";1859;"Berkelland";43747;"10-02-2021";"23-02-2021";86;196.6;0;0;1;2.3
"Bernheze";1721;"Bernheze";31240;"10-02-2021";"23-02-2021";147;470.6;0;0;0;0
"Best";753;"Best";29988;"10-02-2021";"23-02-2021";87;290.1;0;0;0;0
"Beuningen";209;"Beuningen";25890;"10-02-2021";"23-02-2021";109;421;1;3.9;0;0
"Beverwijk";375;"Beverwijk";41626;"10-02-2021";"23-02-2021";279;670.3;3;7.2;8;19.2
"Bladel";1728;"Bladel";20390;"10-02-2021";"23-02-2021";85;416.9;1;4.9;1;4.9
"Blaricum";376;"Blaricum";11540;"10-02-2021";"23-02-2021";36;312;0;0;0;0
"Bloemendaal";377;"Bloemendaal";23571;"10-02-2021";"23-02-2021";32;135.8;0;0;2;8.5
"Bodegraven-Reeuwijk";1901;"Bodegraven-Reeuwijk";34872;"10-02-2021";"23-02-2021";123;352.7;6;17.2;0;0
"Boekel";755;"Boekel";10785;"10-02-2021";"23-02-2021";13;120.5;0;0;0;0
"Borger-Odoorn";1681;"Borger-Odoorn";25559;"10-02-2021";"23-02-2021";51;199.5;0;0;0;0
"Borne";147;"Borne";23312;"10-02-2021";"23-02-2021";42;180.2;0;0;2;8.6
"Borsele";654;"Borsele";22739;"10-02-2021";"23-02-2021";53;233.1;0;0;0;0
"Boxmeer";756;"Boxmeer";29365;"10-02-2021";"23-02-2021";100;340.5;0;0;2;6.8
"Boxtel";757;"Boxtel";32970;"10-02-2021";"23-02-2021";106;321.5;1;3;2;6.1
"Breda";758;"Breda";184069;"10-02-2021";"23-02-2021";249;135.3;1;0.5;5;2.7
"Brielle";501;"Brielle";17271;"10-02-2021";"23-02-2021";45;260.6;0;0;0;0
"Bronckhorst";1876;"Bronckhorst";36055;"10-02-2021";"23-02-2021";76;210.8;1;2.8;2;5.5
"Brummen";213;"Brummen";20726;"10-02-2021";"23-02-2021";24;115.8;0;0;0;0
"Brunssum";899;"Brunssum";27821;"10-02-2021";"23-02-2021";67;240.8;2;7.2;5;18
"Bunnik";312;"Bunnik";15191;"10-02-2021";"23-02-2021";43;283.1;0;0;0;0
"Bunschoten";313;"Bunschoten";21866;"10-02-2021";"23-02-2021";226;1033.6;2;9.1;0;0
"Buren";214;"Buren";26749;"10-02-2021";"23-02-2021";80;299.1;2;7.5;2;7.5
"Capelle aan den IJssel";502;"Capelle aan den IJssel";67122;"10-02-2021";"23-02-2021";178;265.2;7;10.4;4;6
"Castricum";383;"Castricum";35986;"10-02-2021";"23-02-2021";95;264;2;5.6;1;2.8
"Coevorden";109;"Coevorden";35297;"10-02-2021";"23-02-2021";139;393.8;3;8.5;2;5.7
"Cranendonck";1706;"Cranendonck";21138;"10-02-2021";"23-02-2021";116;548.8;1;4.7;1;4.7
"Cuijk";1684;"Cuijk";25130;"10-02-2021";"23-02-2021";54;214.9;0;0;0;0
"Culemborg";216;"Culemborg";28955;"10-02-2021";"23-02-2021";64;221;0;0;0;0
"Dalfsen";148;"Dalfsen";28587;"10-02-2021";"23-02-2021";42;146.9;0;0;0;0
"Dantumadiel";1891;"Dantumadiel";18922;"10-02-2021";"23-02-2021";91;480.9;2;10.6;1;5.3
"De Bilt";310;"De Bilt";43137;"10-02-2021";"23-02-2021";139;322.2;5;11.6;2;4.6
"De Fryske Marren";1940;"De Fryske Marren";51564;"10-02-2021";"23-02-2021";188;364.6;1;1.9;3;5.8
"De Ronde Venen";736;"De Ronde Venen";44456;"10-02-2021";"23-02-2021";131;294.7;0;0;0;0
"De Wolden";1690;"De Wolden";24330;"10-02-2021";"23-02-2021";51;209.6;1;4.1;1;4.1
"Delft";503;"Delft";103595;"10-02-2021";"23-02-2021";208;200.8;1;1;3;2.9
"Den Helder";400;"Den Helder";56296;"10-02-2021";"23-02-2021";390;692.8;3;5.3;8;14.2
"Deurne";762;"Deurne";32471;"10-02-2021";"23-02-2021";130;400.4;1;3.1;1;3.1
"Deventer";150;"Deventer";100719;"10-02-2021";"23-02-2021";106;105.2;1;1;1;1
"Diemen";384;"Diemen";30780;"10-02-2021";"23-02-2021";100;324.9;0;0;0;0
"Dinkelland";1774;"Dinkelland";26461;"10-02-2021";"23-02-2021";41;154.9;0;0;2;7.6
"Doesburg";221;"Doesburg";11077;"10-02-2021";"23-02-2021";24;216.7;0;0;0;0
"Doetinchem";222;"Doetinchem";58001;"10-02-2021";"23-02-2021";106;182.8;0;0;0;0
"Dongen";766;"Dongen";26222;"10-02-2021";"23-02-2021";98;373.7;0;0;0;0
"Dordrecht";505;"Dordrecht";119284;"10-02-2021";"23-02-2021";390;327;2;1.7;6;5
"Drechterland";498;"Drechterland";19719;"10-02-2021";"23-02-2021";79;400.6;1;5.1;0;0
"Drimmelen";1719;"Drimmelen";27272;"10-02-2021";"23-02-2021";58;212.7;2;7.3;1;3.7
"Dronten";303;"Dronten";41555;"10-02-2021";"23-02-2021";88;211.8;0;0;0;0
"Druten";225;"Druten";18926;"10-02-2021";"23-02-2021";77;406.8;1;5.3;0;0
"Duiven";226;"Duiven";25126;"10-02-2021";"23-02-2021";59;234.8;2;8;0;0
"Echt-Susteren";1711;"Echt-Susteren";31610;"10-02-2021";"23-02-2021";124;392.3;0;0;2;6.3
"Edam-Volendam";385;"Edam-Volendam";36197;"10-02-2021";"23-02-2021";166;458.6;0;0;2;5.5
"Ede";228;"Ede";117165;"10-02-2021";"23-02-2021";251;214.2;2;1.7;4;3.4
"Eemnes";317;"Eemnes";9247;"10-02-2021";"23-02-2021";45;486.6;0;0;0;0
"Eemsdelta";1979;"Eemsdelta";45857;"10-02-2021";"23-02-2021";108;235.5;1;2.2;1;2.2
"Eersel";770;"Eersel";19313;"10-02-2021";"23-02-2021";92;476.4;0;0;2;10.4
"Eijsden-Margraten";1903;"Eijsden-Margraten";25768;"10-02-2021";"23-02-2021";40;155.2;0;0;1;3.9
"Eindhoven";772;"Eindhoven";234394;"10-02-2021";"23-02-2021";807;344.3;5;2.1;17;7.3
"Elburg";230;"Elburg";23161;"10-02-2021";"23-02-2021";60;259.1;0;0;0;0
"Emmen";114;"Emmen";107048;"10-02-2021";"23-02-2021";490;457.7;5;4.7;4;3.7
"Enkhuizen";388;"Enkhuizen";18591;"10-02-2021";"23-02-2021";108;580.9;0;0;1;5.4
"Enschede";153;"Enschede";159640;"10-02-2021";"23-02-2021";323;202.3;9;5.6;4;2.5
"Epe";232;"Epe";33178;"10-02-2021";"23-02-2021";76;229.1;0;0;2;6
"Ermelo";233;"Ermelo";27008;"10-02-2021";"23-02-2021";31;114.8;0;0;1;3.7
"Etten-Leur";777;"Etten-Leur";43878;"10-02-2021";"23-02-2021";84;191.4;0;0;1;2.3
"Geertruidenberg";779;"Geertruidenberg";21544;"10-02-2021";"23-02-2021";54;250.6;0;0;1;4.6
"Geldrop-Mierlo";1771;"Geldrop-Mierlo";39726;"10-02-2021";"23-02-2021";151;380.1;3;7.6;1;2.5
"Gemert-Bakel";1652;"Gemert-Bakel";30723;"10-02-2021";"23-02-2021";61;198.5;0;0;0;0
"Gennep";907;"Gennep";16921;"10-02-2021";"23-02-2021";44;260;0;0;0;0
"Gilze en Rijen";784;"Gilze en Rijen";26431;"10-02-2021";"23-02-2021";54;204.3;0;0;0;0
"Goeree-Overflakkee";1924;"Goeree-Overflakkee";50049;"10-02-2021";"23-02-2021";146;291.7;3;6;2;4
"Goes";664;"Goes";38082;"10-02-2021";"23-02-2021";108;283.6;1;2.6;0;0
"Goirle";785;"Goirle";23904;"10-02-2021";"23-02-2021";68;284.5;1;4.2;2;8.4
"Gooise Meren";1942;"Gooise Meren";58055;"10-02-2021";"23-02-2021";169;291.1;0;0;0;0
"Gorinchem";512;"Gorinchem";37022;"10-02-2021";"23-02-2021";99;267.4;1;2.7;4;10.8
"Gouda";513;"Gouda";73427;"10-02-2021";"23-02-2021";173;235.6;4;5.4;5;6.8
"Grave";786;"Grave";12436;"10-02-2021";"23-02-2021";41;329.7;0;0;0;0
"'s-Gravenhage";518;"'s-Gravenhage";545838;"10-02-2021";"23-02-2021";1192;218.4;29;5.3;11;2
"Groningen";14;"Groningen";232874;"10-02-2021";"23-02-2021";500;214.7;2;0.9;0;0
"Gulpen-Wittem";1729;"Gulpen-Wittem";14171;"10-02-2021";"23-02-2021";59;416.3;0;0;1;7.1
"Haaksbergen";158;"Haaksbergen";24311;"10-02-2021";"23-02-2021";24;98.7;2;8.2;0;0
"Haarlem";392;"Haarlem";162902;"10-02-2021";"23-02-2021";362;222.2;3;1.8;2;1.2
"Haarlemmermeer";394;"Haarlemmermeer";156002;"10-02-2021";"23-02-2021";349;223.7;0;0;3;1.9
"Halderberge";1655;"Halderberge";30284;"10-02-2021";"23-02-2021";65;214.6;2;6.6;2;6.6
"Hardenberg";160;"Hardenberg";60948;"10-02-2021";"23-02-2021";168;275.6;1;1.6;1;1.6
"Harderwijk";243;"Harderwijk";48414;"10-02-2021";"23-02-2021";121;249.9;3;6.2;2;4.1
"Hardinxveld-Giessendam";523;"Hardinxveld-Giessendam";18295;"10-02-2021";"23-02-2021";126;688.7;0;0;1;5.5
"Harlingen";72;"Harlingen";15722;"10-02-2021";"23-02-2021";52;330.7;1;6.4;1;6.4
"Hattem";244;"Hattem";12209;"10-02-2021";"23-02-2021";22;180.2;0;0;1;8.2
"Heemskerk";396;"Heemskerk";39182;"10-02-2021";"23-02-2021";278;709.5;1;2.6;2;5.1
"Heemstede";397;"Heemstede";27234;"10-02-2021";"23-02-2021";58;213;0;0;0;0
"Heerde";246;"Heerde";18589;"10-02-2021";"23-02-2021";33;177.5;0;0;0;0
"Heerenveen";74;"Heerenveen";50493;"10-02-2021";"23-02-2021";102;202;0;0;3;5.9
"Heerhugowaard";398;"Heerhugowaard";57587;"10-02-2021";"23-02-2021";237;411.6;3;5.2;2;3.5
"Heerlen";917;"Heerlen";87086;"10-02-2021";"23-02-2021";239;274.4;4;4.6;2;2.3
"Heeze-Leende";1658;"Heeze-Leende";16152;"10-02-2021";"23-02-2021";63;390;0;0;0;0
"Heiloo";399;"Heiloo";23968;"10-02-2021";"23-02-2021";42;175.2;0;0;0;0
"Hellendoorn";163;"Hellendoorn";35916;"10-02-2021";"23-02-2021";201;559.6;3;8.4;5;13.9
"Hellevoetsluis";530;"Hellevoetsluis";40142;"10-02-2021";"23-02-2021";104;259.1;0;0;1;2.5
"Helmond";794;"Helmond";92423;"10-02-2021";"23-02-2021";570;616.7;4;4.3;4;4.3
"Hendrik-Ido-Ambacht";531;"Hendrik-Ido-Ambacht";31202;"10-02-2021";"23-02-2021";100;320.5;0;0;1;3.2
"Hengelo (O.)";164;"Hengelo (O.)";81140;"10-02-2021";"23-02-2021";107;131.9;0;0;1;1.2
"'s-Hertogenbosch";796;"'s-Hertogenbosch";155111;"10-02-2021";"23-02-2021";486;313.3;2;1.3;4;2.6
"Het Hogeland";1966;"Het Hogeland";47801;"10-02-2021";"23-02-2021";110;230.1;0;0;0;0
"Heumen";252;"Heumen";16454;"10-02-2021";"23-02-2021";30;182.3;0;0;0;0
"Heusden";797;"Heusden";44692;"10-02-2021";"23-02-2021";183;409.5;0;0;0;0
"Hillegom";534;"Hillegom";22209;"10-02-2021";"23-02-2021";60;270.2;0;0;0;0
"Hilvarenbeek";798;"Hilvarenbeek";15518;"10-02-2021";"23-02-2021";82;528.4;0;0;0;0
"Hilversum";402;"Hilversum";90831;"10-02-2021";"23-02-2021";257;282.9;1;1.1;1;1.1
"Hoeksche Waard";1963;"Hoeksche Waard";87401;"10-02-2021";"23-02-2021";195;223.1;1;1.1;1;1.1
"Hof van Twente";1735;"Hof van Twente";35017;"10-02-2021";"23-02-2021";116;331.3;0;0;4;11.4
"Hollands Kroon";1911;"Hollands Kroon";48432;"10-02-2021";"23-02-2021";274;565.7;0;0;6;12.4
"Hoogeveen";118;"Hoogeveen";55699;"10-02-2021";"23-02-2021";208;373.4;3;5.4;3;5.4
"Hoorn";405;"Hoorn";73261;"10-02-2021";"23-02-2021";641;875;6;8.2;4;5.5
"Horst aan de Maas";1507;"Horst aan de Maas";42429;"10-02-2021";"23-02-2021";183;431.3;1;2.4;0;0
"Houten";321;"Houten";50146;"10-02-2021";"23-02-2021";102;203.4;4;8;0;0
"Huizen";406;"Huizen";41273;"10-02-2021";"23-02-2021";150;363.4;0;0;1;2.4
"Hulst";677;"Hulst";27556;"10-02-2021";"23-02-2021";46;166.9;0;0;1;3.6
"IJsselstein";353;"IJsselstein";34109;"10-02-2021";"23-02-2021";98;287.3;0;0;0;0
"Kaag en Braassem";1884;"Kaag en Braassem";27297;"10-02-2021";"23-02-2021";87;318.7;1;3.7;0;0
"Kampen";166;"Kampen";54319;"10-02-2021";"23-02-2021";78;143.6;0;0;0;0
"Kapelle";678;"Kapelle";12695;"10-02-2021";"23-02-2021";43;338.7;0;0;1;7.9
"Katwijk";537;"Katwijk";65753;"10-02-2021";"23-02-2021";355;539.9;4;6.1;3;4.6
"Kerkrade";928;"Kerkrade";45749;"10-02-2021";"23-02-2021";174;380.3;1;2.2;6;13.1
"Koggenland";1598;"Koggenland";22749;"10-02-2021";"23-02-2021";188;826.4;0;0;1;4.4
"Krimpen aan den IJssel";542;"Krimpen aan den IJssel";29526;"10-02-2021";"23-02-2021";100;338.7;1;3.4;1;3.4
"Krimpenerwaard";1931;"Krimpenerwaard";56319;"10-02-2021";"23-02-2021";198;351.6;2;3.6;2;3.6
"Laarbeek";1659;"Laarbeek";22523;"10-02-2021";"23-02-2021";78;346.3;0;0;1;4.4
"Landerd";1685;"Landerd";15730;"10-02-2021";"23-02-2021";23;146.2;0;0;0;0
"Landgraaf";882;"Landgraaf";37445;"10-02-2021";"23-02-2021";196;523.4;2;5.3;6;16
"Landsmeer";415;"Landsmeer";11491;"10-02-2021";"23-02-2021";101;878.9;1;8.7;0;0
"Langedijk";416;"Langedijk";28163;"10-02-2021";"23-02-2021";100;355.1;0;0;3;10.7
"Lansingerland";1621;"Lansingerland";62384;"10-02-2021";"23-02-2021";137;219.6;2;3.2;0;0
"Laren";417;"Laren";11280;"10-02-2021";"23-02-2021";42;372.3;0;0;0;0
"Leeuwarden";80;"Leeuwarden";124084;"10-02-2021";"23-02-2021";448;361;9;7.3;16;12.9
"Leiden";546;"Leiden";125099;"10-02-2021";"23-02-2021";223;178.3;0;0;4;3.2
"Leiderdorp";547;"Leiderdorp";27056;"10-02-2021";"23-02-2021";60;221.8;0;0;0;0
"Leidschendam-Voorburg";1916;"Leidschendam-Voorburg";76534;"10-02-2021";"23-02-2021";135;176.4;6;7.8;2;2.6
