"Gemeente";"Gemnr";"Gemeente";"Bev";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"'s-Gravenhage";518;"'s-Gravenhage";548320;"15-09-2021";"28-09-2021";1128;205.7;11;2;2;0.4
"'s-Hertogenbosch";796;"'s-Hertogenbosch";155490;"15-09-2021";"28-09-2021";185;119;1;0.6;0;0
"Aa en Hunze";1680;"Aa en Hunze";25399;"15-09-2021";"28-09-2021";9;35.4;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31991;"15-09-2021";"28-09-2021";25;78.1;0;0;0;0
"Aalten";197;"Aalten";27120;"15-09-2021";"28-09-2021";21;77.4;0;0;0;0
"Achtkarspelen";59;"Achtkarspelen";27900;"15-09-2021";"28-09-2021";70;250.9;0;0;0;0
"Alblasserdam";482;"Alblasserdam";20136;"15-09-2021";"28-09-2021";22;109.3;1;5;0;0
"Albrandswaard";613;"Albrandswaard";25814;"15-09-2021";"28-09-2021";42;162.7;1;3.9;0;0
"Alkmaar";361;"Alkmaar";109896;"15-09-2021";"28-09-2021";75;68.2;0;0;0;0
"Almelo";141;"Almelo";73132;"15-09-2021";"28-09-2021";97;132.6;1;1.4;0;0
"Almere";34;"Almere";214715;"15-09-2021";"28-09-2021";305;142;2;0.9;1;0.5
"Alphen aan den Rijn";484;"Alphen aan den Rijn";112587;"15-09-2021";"28-09-2021";167;148.3;0;0;0;0
"Alphen-Chaam";1723;"Alphen-Chaam";10373;"15-09-2021";"28-09-2021";28;269.9;0;0;0;0
"Altena";1959;"Altena";56352;"15-09-2021";"28-09-2021";47;83.4;0;0;0;0
"Ameland";60;"Ameland";3746;"15-09-2021";"28-09-2021";2;53.4;0;0;0;0
"Amersfoort";307;"Amersfoort";157462;"15-09-2021";"28-09-2021";381;242;2;1.3;0;0
"Amstelveen";362;"Amstelveen";90829;"15-09-2021";"28-09-2021";92;101.3;1;1.1;0;0
"Amsterdam";363;"Amsterdam";873338;"15-09-2021";"28-09-2021";1213;138.9;9;1;3;0.3
"Apeldoorn";200;"Apeldoorn";164781;"15-09-2021";"28-09-2021";175;106.2;0;0;0;0
"Arnhem";202;"Arnhem";162424;"15-09-2021";"28-09-2021";275;169.3;1;0.6;0;0
"Assen";106;"Assen";68836;"15-09-2021";"28-09-2021";33;47.9;0;0;0;0
"Asten";743;"Asten";16817;"15-09-2021";"28-09-2021";5;29.7;0;0;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6899;"15-09-2021";"28-09-2021";16;231.9;0;0;0;0
"Baarn";308;"Baarn";24792;"15-09-2021";"28-09-2021";21;84.7;0;0;0;0
"Barendrecht";489;"Barendrecht";48643;"15-09-2021";"28-09-2021";103;211.7;1;2.1;0;0
"Barneveld";203;"Barneveld";59992;"15-09-2021";"28-09-2021";162;270;0;0;0;0
"Beek";888;"Beek";15875;"15-09-2021";"28-09-2021";34;214.2;0;0;0;0
"Beekdaelen";1954;"Beekdaelen";36065;"15-09-2021";"28-09-2021";93;257.9;1;2.8;0;0
"Beemster";370;"Beemster";10110;"15-09-2021";"28-09-2021";9;89;0;0;0;0
"Beesel";889;"Beesel";13450;"15-09-2021";"28-09-2021";37;275.1;0;0;0;0
"Berg en Dal";1945;"Berg en Dal";35010;"15-09-2021";"28-09-2021";28;80;0;0;0;0
"Bergeijk";1724;"Bergeijk";18754;"15-09-2021";"28-09-2021";7;37.3;0;0;0;0
"Bergen (L.)";893;"Bergen (L.)";13108;"15-09-2021";"28-09-2021";24;183.1;0;0;0;0
"Bergen (NH.)";373;"Bergen (NH.)";29715;"15-09-2021";"28-09-2021";12;40.4;0;0;0;0
"Bergen op Zoom";748;"Bergen op Zoom";67514;"15-09-2021";"28-09-2021";58;85.9;0;0;1;1.5
"Berkelland";1859;"Berkelland";43846;"15-09-2021";"28-09-2021";20;45.6;0;0;0;0
"Bernheze";1721;"Bernheze";31455;"15-09-2021";"28-09-2021";27;85.8;0;0;0;0
"Best";753;"Best";30216;"15-09-2021";"28-09-2021";19;62.9;0;0;0;0
"Beuningen";209;"Beuningen";26157;"15-09-2021";"28-09-2021";9;34.4;0;0;0;0
"Beverwijk";375;"Beverwijk";41863;"15-09-2021";"28-09-2021";28;66.9;0;0;0;0
"Bladel";1728;"Bladel";20529;"15-09-2021";"28-09-2021";7;34.1;0;0;0;0
"Blaricum";376;"Blaricum";11954;"15-09-2021";"28-09-2021";14;117.1;0;0;0;0
"Bloemendaal";377;"Bloemendaal";23478;"15-09-2021";"28-09-2021";15;63.9;0;0;0;0
"Bodegraven-Reeuwijk";1901;"Bodegraven-Reeuwijk";35278;"15-09-2021";"28-09-2021";176;498.9;1;2.8;0;0
"Boekel";755;"Boekel";10959;"15-09-2021";"28-09-2021";7;63.9;0;0;0;0
"Borger-Odoorn";1681;"Borger-Odoorn";25598;"15-09-2021";"28-09-2021";16;62.5;0;0;0;0
"Borne";147;"Borne";23668;"15-09-2021";"28-09-2021";22;93;0;0;0;0
"Borsele";654;"Borsele";22818;"15-09-2021";"28-09-2021";42;184.1;0;0;0;0
"Boxmeer";756;"Boxmeer";29609;"15-09-2021";"28-09-2021";66;222.9;1;3.4;0;0
"Boxtel";757;"Boxtel";32973;"15-09-2021";"28-09-2021";59;178.9;0;0;0;0
"Breda";758;"Breda";184126;"15-09-2021";"28-09-2021";169;91.8;0;0;1;0.5
"Brielle";501;"Brielle";17439;"15-09-2021";"28-09-2021";15;86;1;5.7;0;0
"Bronckhorst";1876;"Bronckhorst";36087;"15-09-2021";"28-09-2021";24;66.5;1;2.8;0;0
"Brummen";213;"Brummen";20884;"15-09-2021";"28-09-2021";12;57.5;0;0;0;0
"Brunssum";899;"Brunssum";27670;"15-09-2021";"28-09-2021";65;234.9;1;3.6;1;3.6
"Bunnik";312;"Bunnik";15341;"15-09-2021";"28-09-2021";22;143.4;0;0;0;0
"Bunschoten";313;"Bunschoten";22019;"15-09-2021";"28-09-2021";15;68.1;0;0;0;0
"Buren";214;"Buren";27009;"15-09-2021";"28-09-2021";15;55.5;0;0;0;0
"Capelle aan den IJssel";502;"Capelle aan den IJssel";67319;"15-09-2021";"28-09-2021";108;160.4;0;0;1;1.5
"Castricum";383;"Castricum";36086;"15-09-2021";"28-09-2021";28;77.6;0;0;0;0
"Coevorden";109;"Coevorden";35317;"15-09-2021";"28-09-2021";50;141.6;1;2.8;1;2.8
"Cranendonck";1706;"Cranendonck";21001;"15-09-2021";"28-09-2021";12;57.1;0;0;0;0
"Cuijk";1684;"Cuijk";25404;"15-09-2021";"28-09-2021";19;74.8;0;0;0;0
"Culemborg";216;"Culemborg";29121;"15-09-2021";"28-09-2021";35;120.2;0;0;0;0
"Dalfsen";148;"Dalfsen";28901;"15-09-2021";"28-09-2021";15;51.9;0;0;0;0
"Dantumadiel";1891;"Dantumadiel";18943;"15-09-2021";"28-09-2021";87;459.3;0;0;0;0
"De Bilt";310;"De Bilt";43384;"15-09-2021";"28-09-2021";41;94.5;0;0;0;0
"De Fryske Marren";1940;"De Fryske Marren";51778;"15-09-2021";"28-09-2021";59;113.9;0;0;0;0
"De Ronde Venen";736;"De Ronde Venen";44720;"15-09-2021";"28-09-2021";62;138.6;1;2.2;0;0
"De Wolden";1690;"De Wolden";24374;"15-09-2021";"28-09-2021";19;78;0;0;0;0
"Delft";503;"Delft";103581;"15-09-2021";"28-09-2021";165;159.3;1;1;0;0
"Den Helder";400;"Den Helder";56582;"15-09-2021";"28-09-2021";49;86.6;1;1.8;1;1.8
"Deurne";762;"Deurne";32437;"15-09-2021";"28-09-2021";23;70.9;0;0;0;0
"Deventer";150;"Deventer";101236;"15-09-2021";"28-09-2021";68;67.2;0;0;0;0
"Diemen";384;"Diemen";31334;"15-09-2021";"28-09-2021";41;130.8;0;0;0;0
"Dinkelland";1774;"Dinkelland";26606;"15-09-2021";"28-09-2021";19;71.4;0;0;0;0
"Doesburg";221;"Doesburg";11064;"15-09-2021";"28-09-2021";7;63.3;0;0;0;0
"Doetinchem";222;"Doetinchem";58270;"15-09-2021";"28-09-2021";33;56.6;0;0;0;0
"Dongen";766;"Dongen";26368;"15-09-2021";"28-09-2021";33;125.2;0;0;0;0
"Dordrecht";505;"Dordrecht";119115;"15-09-2021";"28-09-2021";236;198.1;1;0.8;2;1.7
"Drechterland";498;"Drechterland";19838;"15-09-2021";"28-09-2021";15;75.6;0;0;0;0
"Drimmelen";1719;"Drimmelen";27325;"15-09-2021";"28-09-2021";23;84.2;0;0;0;0
