"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Aa en Hunze";1680;"Aa en Hunze";25445;"03-02-2021";"16-02-2021";72;283;0;0;5;19.7
"Aalsmeer";358;"Aalsmeer";31859;"03-02-2021";"16-02-2021";57;178.9;1;3.1;0;0
"Aalten";197;"Aalten";27121;"03-02-2021";"16-02-2021";53;195.4;0;0;0;0
"Achtkarspelen";59;"Achtkarspelen";27843;"03-02-2021";"16-02-2021";144;517.2;2;7.2;7;25.1
"Alblasserdam";482;"Alblasserdam";20165;"03-02-2021";"16-02-2021";49;243;1;5;0;0
"Albrandswaard";613;"Albrandswaard";25590;"03-02-2021";"16-02-2021";45;175.8;0;0;0;0
"Alkmaar";361;"Alkmaar";109436;"03-02-2021";"16-02-2021";420;383.8;1;0.9;2;1.8
"Almelo";141;"Almelo";73107;"03-02-2021";"16-02-2021";251;343.3;3;4.1;0;0
"Almere";34;"Almere";211893;"03-02-2021";"16-02-2021";518;244.5;4;1.9;3;1.4
"Alphen aan den Rijn";484;"Alphen aan den Rijn";111897;"03-02-2021";"16-02-2021";320;286;4;3.6;4;3.6
"Alphen-Chaam";1723;"Alphen-Chaam";10203;"03-02-2021";"16-02-2021";23;225.4;2;19.6;0;0
"Altena";1959;"Altena";55967;"03-02-2021";"16-02-2021";149;266.2;2;3.6;0;0
"Ameland";60;"Ameland";3716;"03-02-2021";"16-02-2021";3;80.7;0;0;0;0
"Amersfoort";307;"Amersfoort";157276;"03-02-2021";"16-02-2021";447;284.2;6;3.8;7;4.5
"Amstelveen";362;"Amstelveen";91675;"03-02-2021";"16-02-2021";160;174.5;3;3.3;1;1.1
"Amsterdam";363;"Amsterdam";872757;"03-02-2021";"16-02-2021";2091;239.6;36;4.1;28;3.2
"Apeldoorn";200;"Apeldoorn";163818;"03-02-2021";"16-02-2021";239;145.9;2;1.2;0;0
"Arnhem";202;"Arnhem";161348;"03-02-2021";"16-02-2021";210;130.2;1;0.6;7;4.3
"Assen";106;"Assen";68599;"03-02-2021";"16-02-2021";141;205.5;2;2.9;1;1.5
"Asten";743;"Asten";16721;"03-02-2021";"16-02-2021";42;251.2;0;0;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6859;"03-02-2021";"16-02-2021";12;175;0;0;0;0
"Baarn";308;"Baarn";24868;"03-02-2021";"16-02-2021";85;341.8;0;0;0;0
"Barendrecht";489;"Barendrecht";48714;"03-02-2021";"16-02-2021";117;240.2;4;8.2;0;0
"Barneveld";203;"Barneveld";59082;"03-02-2021";"16-02-2021";198;335.1;1;1.7;2;3.4
"Beek";888;"Beek";15865;"03-02-2021";"16-02-2021";32;201.7;0;0;0;0
"Beekdaelen";1954;"Beekdaelen";35938;"03-02-2021";"16-02-2021";89;247.6;2;5.6;2;5.6
"Beemster";370;"Beemster";10022;"03-02-2021";"16-02-2021";41;409.1;0;0;0;0
"Beesel";889;"Beesel";13482;"03-02-2021";"16-02-2021";28;207.7;1;7.4;1;7.4
"Berg en Dal";1945;"Berg en Dal";34992;"03-02-2021";"16-02-2021";73;208.6;0;0;4;11.4
"Bergeijk";1724;"Bergeijk";18635;"03-02-2021";"16-02-2021";89;477.6;0;0;1;5.4
"Bergen (L.)";893;"Bergen (L.)";13085;"03-02-2021";"16-02-2021";47;359.2;0;0;0;0
"Bergen (NH.)";373;"Bergen (NH.)";29839;"03-02-2021";"16-02-2021";61;204.4;0;0;3;10.1
"Bergen op Zoom";748;"Bergen op Zoom";67496;"03-02-2021";"16-02-2021";148;219.3;1;1.5;1;1.5
"Berkelland";1859;"Berkelland";43747;"03-02-2021";"16-02-2021";94;214.9;1;2.3;1;2.3
"Bernheze";1721;"Bernheze";31240;"03-02-2021";"16-02-2021";117;374.5;0;0;2;6.4
"Best";753;"Best";29988;"03-02-2021";"16-02-2021";81;270.1;0;0;0;0
"Beuningen";209;"Beuningen";25890;"03-02-2021";"16-02-2021";90;347.6;2;7.7;0;0
"Beverwijk";375;"Beverwijk";41626;"03-02-2021";"16-02-2021";207;497.3;2;4.8;5;12
"Bladel";1728;"Bladel";20390;"03-02-2021";"16-02-2021";91;446.3;0;0;1;4.9
"Blaricum";376;"Blaricum";11540;"03-02-2021";"16-02-2021";27;234;0;0;0;0
"Bloemendaal";377;"Bloemendaal";23571;"03-02-2021";"16-02-2021";35;148.5;0;0;2;8.5
"Bodegraven-Reeuwijk";1901;"Bodegraven-Reeuwijk";34872;"03-02-2021";"16-02-2021";133;381.4;1;2.9;2;5.7
"Boekel";755;"Boekel";10785;"03-02-2021";"16-02-2021";18;166.9;0;0;0;0
"Borger-Odoorn";1681;"Borger-Odoorn";25559;"03-02-2021";"16-02-2021";53;207.4;1;3.9;0;0
"Borne";147;"Borne";23312;"03-02-2021";"16-02-2021";50;214.5;0;0;3;12.9
"Borsele";654;"Borsele";22739;"03-02-2021";"16-02-2021";46;202.3;2;8.8;0;0
"Boxmeer";756;"Boxmeer";29365;"03-02-2021";"16-02-2021";99;337.1;0;0;3;10.2
"Boxtel";757;"Boxtel";32970;"03-02-2021";"16-02-2021";88;266.9;0;0;3;9.1
"Breda";758;"Breda";184069;"03-02-2021";"16-02-2021";270;146.7;2;1.1;4;2.2
"Brielle";501;"Brielle";17271;"03-02-2021";"16-02-2021";33;191.1;0;0;0;0
"Bronckhorst";1876;"Bronckhorst";36055;"03-02-2021";"16-02-2021";82;227.4;1;2.8;1;2.8
"Brummen";213;"Brummen";20726;"03-02-2021";"16-02-2021";29;139.9;0;0;1;4.8
"Brunssum";899;"Brunssum";27821;"03-02-2021";"16-02-2021";83;298.3;1;3.6;3;10.8
"Bunnik";312;"Bunnik";15191;"03-02-2021";"16-02-2021";34;223.8;0;0;0;0
"Bunschoten";313;"Bunschoten";21866;"03-02-2021";"16-02-2021";123;562.5;1;4.6;1;4.6
"Buren";214;"Buren";26749;"03-02-2021";"16-02-2021";50;186.9;1;3.7;1;3.7
"Capelle aan den IJssel";502;"Capelle aan den IJssel";67122;"03-02-2021";"16-02-2021";112;166.9;1;1.5;4;6
"Castricum";383;"Castricum";35986;"03-02-2021";"16-02-2021";82;227.9;0;0;2;5.6
"Coevorden";109;"Coevorden";35297;"03-02-2021";"16-02-2021";142;402.3;3;8.5;5;14.2
"Cranendonck";1706;"Cranendonck";21138;"03-02-2021";"16-02-2021";95;449.4;0;0;1;4.7
"Cuijk";1684;"Cuijk";25130;"03-02-2021";"16-02-2021";56;222.8;0;0;0;0
"Culemborg";216;"Culemborg";28955;"03-02-2021";"16-02-2021";70;241.8;0;0;1;3.5
"Dalfsen";148;"Dalfsen";28587;"03-02-2021";"16-02-2021";45;157.4;2;7;0;0
"Dantumadiel";1891;"Dantumadiel";18922;"03-02-2021";"16-02-2021";101;533.8;1;5.3;0;0
