"Gemeente";"Inwoners";"Van";"Tot";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"'s-Gravenhage";553417;"02-11-2022";"15-11-2022";327;59,1;21;3,8;1;0,2
"'s-Hertogenbosch";156538;"02-11-2022";"15-11-2022";93;59,4;5;3,2;0;0
"Aa en Hunze";25579;"02-11-2022";"15-11-2022";18;70,4;1;3,9;0;0
"Aalsmeer";32452;"02-11-2022";"15-11-2022";18;55,5;0;0;0;0
"Aalten";27100;"02-11-2022";"15-11-2022";6;22,1;0;0;0;0
"Achtkarspelen";27954;"02-11-2022";"15-11-2022";17;60,8;2;7,2;0;0
"Alblasserdam";20087;"02-11-2022";"15-11-2022";16;79,7;1;5;0;0
"Albrandswaard";25934;"02-11-2022";"15-11-2022";28;108;0;0;0;0
"Alkmaar";110783;"02-11-2022";"15-11-2022";82;74;11;9,9;0;0
"Almelo";73155;"02-11-2022";"15-11-2022";32;43,7;3;4,1;0;0
"Almere";217828;"02-11-2022";"15-11-2022";170;78;2;0,9;0;0
"Alphen aan den Rijn";112926;"02-11-2022";"15-11-2022";87;77;6;5,3;0;0
"Alphen-Chaam";10425;"02-11-2022";"15-11-2022";6;57,6;2;19,2;0;0
"Altena";57009;"02-11-2022";"15-11-2022";13;22,8;2;3,5;0;0
"Ameland";3757;"02-11-2022";"15-11-2022";2;53,2;0;0;0;0
"Amersfoort";158590;"02-11-2022";"15-11-2022";126;79,5;7;4,4;0;0
"Amstelveen";92331;"02-11-2022";"15-11-2022";79;85,6;0;0;0;0
"Amsterdam";903399;"02-11-2022";"15-11-2022";726;80,4;23;2,5;3;0,3
"Apeldoorn";165611;"02-11-2022";"15-11-2022";154;93;5;3;0;0
"Arnhem";163888;"02-11-2022";"15-11-2022";111;67,7;1;0,6;0;0
"Assen";68979;"02-11-2022";"15-11-2022";51;73,9;0;0;0;0
"Asten";17068;"02-11-2022";"15-11-2022";4;23,4;0;0;0;0
"Baarle-Nassau";6931;"02-11-2022";"15-11-2022";4;57,7;0;0;0;0
"Baarn";24876;"02-11-2022";"15-11-2022";14;56,3;1;4;0;0
"Barendrecht";48714;"02-11-2022";"15-11-2022";49;100,6;4;8,2;0;0
"Barneveld";60584;"02-11-2022";"15-11-2022";16;26,4;2;3,3;0;0
"Beek";15817;"02-11-2022";"15-11-2022";28;177;0;0;0;0
"Beekdaelen";35922;"02-11-2022";"15-11-2022";34;94,6;3;8,4;0;0
"Beesel";13408;"02-11-2022";"15-11-2022";6;44,7;0;0;0;0
"Berg en Dal";34951;"02-11-2022";"15-11-2022";28;80,1;4;11,4;0;0
"Bergeijk";18879;"02-11-2022";"15-11-2022";6;31,8;0;0;0;0
"Bergen (L.)";13106;"02-11-2022";"15-11-2022";7;53,4;0;0;0;0
"Bergen (NH.)";29723;"02-11-2022";"15-11-2022";30;100,9;7;23,6;1;3,4
"Bergen op Zoom";67894;"02-11-2022";"15-11-2022";27;39,8;5;7,4;0;0
"Berkelland";43850;"02-11-2022";"15-11-2022";31;70,7;3;6,8;0;0
"Bernheze";31715;"02-11-2022";"15-11-2022";16;50,4;2;6,3;0;0
"Best";30608;"02-11-2022";"15-11-2022";13;42,5;2;6,5;0;0
"Beuningen";26235;"02-11-2022";"15-11-2022";35;133,4;0;0;0;0
"Beverwijk";42084;"02-11-2022";"15-11-2022";38;90,3;0;0;0;0
"Bladel";20718;"02-11-2022";"15-11-2022";6;29;0;0;0;0
"Blaricum";12359;"02-11-2022";"15-11-2022";22;178;1;8,1;0;0
"Bloemendaal";23732;"02-11-2022";"15-11-2022";20;84,3;0;0;0;0
"Bodegraven-Reeuwijk";35752;"02-11-2022";"15-11-2022";27;75,5;1;2,8;0;0
"Boekel";11030;"02-11-2022";"15-11-2022";2;18,1;0;0;0;0
"Borger-Odoorn";25681;"02-11-2022";"15-11-2022";9;35;0;0;0;0
"Borne";24007;"02-11-2022";"15-11-2022";5;20,8;1;4,2;0;0
"Borsele";22847;"02-11-2022";"15-11-2022";23;100,7;2;8,8;0;0
"Boxtel";33129;"02-11-2022";"15-11-2022";11;33,2;0;0;0;0
"Breda";184702;"02-11-2022";"15-11-2022";128;69,3;11;6;0;0
"Brielle";17704;"02-11-2022";"15-11-2022";14;79,1;1;5,6;0;0
"Bronckhorst";36077;"02-11-2022";"15-11-2022";20;55,4;0;0;0;0
"Brummen";20890;"02-11-2022";"15-11-2022";4;19,1;2;9,6;0;0
"Brunssum";27674;"02-11-2022";"15-11-2022";31;112;4;14,5;0;0
"Bunnik";15590;"02-11-2022";"15-11-2022";14;89,8;0;0;0;0
"Bunschoten";22325;"02-11-2022";"15-11-2022";20;89,6;2;9;0;0
"Buren";27155;"02-11-2022";"15-11-2022";19;70;1;3,7;0;0
"Capelle aan den IJssel";67188;"02-11-2022";"15-11-2022";47;70;7;10,4;0;0
"Castricum";36263;"02-11-2022";"15-11-2022";26;71,7;1;2,8;0;0
"Coevorden";35517;"02-11-2022";"15-11-2022";11;31;2;5,6;0;0
"Cranendonck";20669;"02-11-2022";"15-11-2022";10;48,4;1;4,8;0;0
"Culemborg";29397;"02-11-2022";"15-11-2022";12;40,8;4;13,6;0;0
"Dalfsen";29162;"02-11-2022";"15-11-2022";14;48;1;3,4;0;0
