Category;Aantal
Aalsmeer;2
Aalten;null
Achtkarspelen;null
Alblasserdam;null
Albrandswaard;1
Alkmaar;1
Almelo;1
Almere;1
Alphen aan den Rijn;1
Alphen-Chaam;null
Altena;4
Ameland;null
Amersfoort;null
Amstelveen;2
Amsterdam;8
Apeldoorn;null
Appingedam;null
Arnhem;2
Assen;null
Asten;null
Baarle-Nassau;null
Baarn;null
Barendrecht;null
Barneveld;null
Beek;null
Beekdaelen;5
Beemster;null
Beesel;null
Berg en Dal;1
Bergeijk;null
Bergen (L);null
Bergen (NH);null
Bergen op Zoom;1
Berkelland;null
Bernheze;2
Best;2
Beuningen;3
Beverwijk;4
Bladel;null
Blaricum;1
Bloemendaal;1
Bodegraven-Reeuwijk;null
Boekel;2
Borger-Odoorn;null
Borne;3
Borsele;null
Boxmeer;null
Boxtel;null
Breda;27
Brielle;null
Bronckhorst;2
Brummen;null
Brunssum;null
Bunnik;null
Bunschoten;null
Buren;null
Capelle aan den IJssel;null
Castricum;null
Coevorden;11
Cranendonck;null
Cuijk;null
Culemborg;1
Dalfsen;null
Dantumadiel;null
De Bilt;6
De Fryske Marren;null
De Ronde Venen;null
De Wolden;null
Delft;1
Delfzijl;null
Den Helder;null
Deurne;1
Deventer;null
Diemen;2
Dinkelland;2
Doesburg;null
Doetinchem;null
Dongen;3
Dordrecht;null
Drechterland;null
Drimmelen;null
Dronten;null
Druten;null
Duiven;null
Echt-Susteren;null
Edam-Volendam;null
Ede;null
Eemnes;null
Eersel;null
Eijsden-Margraten;null
Eindhoven;8
Elburg;null
Emmen;1
Enkhuizen;null
Enschede;null
Epe;null
Ermelo;1
Etten-Leur;3
Geertruidenberg;null
Geldrop-Mierlo;null
Gemert-Bakel;2
Gennep;null
Gilze en Rijen;null
Goeree-Overflakkee;null
Goes;1
Goirle;4
Gooise Meren;2
Gorinchem;null
Gouda;1
Grave;null
Groningen;null
Gulpen-Wittem;null
Haaksbergen;null
Haaren;2
Haarlem;1
Haarlemmermeer;null
Halderberge;null
Hardenberg;null
Harderwijk;null
Hardinxveld-Giessendam;5
Harlingen;null
Hattem;null
