"Gemeente";"Inwoners";"Van";"Tot";"Zkh opname";"Zkh opname per 100.000";"Aantal x100 miljard"
"'s-Gravenhage";553417;"2023-04-24";"2023-04-30";6;1,1;736,18
"'s-Hertogenbosch";156538;"2023-04-24";"2023-04-30";0;0;199,71
"Aa en Hunze";25579;"2023-04-24";"2023-04-30";0;0;358,54
"Aalsmeer";32452;"2023-04-24";"2023-04-30";0;0;405,55
"Aalten";27100;"2023-04-24";"2023-04-30";0;0;206,23
"Achtkarspelen";27954;"2023-04-24";"2023-04-30";0;0;924,64
"Alblasserdam";20087;"2023-04-24";"2023-04-30";0;0;677,52
"Albrandswaard";25934;"2023-04-24";"2023-04-30";0;0;381,92
"Alkmaar";110783;"2023-04-24";"2023-04-30";0;0;1072,2
"Almelo";73155;"2023-04-24";"2023-04-30";0;0;715,82
"Almere";217828;"2023-04-24";"2023-04-30";0;0;757,74
"Alphen aan den Rijn";112926;"2023-04-24";"2023-04-30";1;0,9;663,67
"Alphen-Chaam";10425;"2023-04-24";"2023-04-30";0;0;75,29
"Altena";57009;"2023-04-24";"2023-04-30";0;0;145,72
"Ameland";3757;"2023-04-24";"2023-04-30";0;0;
"Amersfoort";158590;"2023-04-24";"2023-04-30";0;0;781,32
"Amstelveen";92331;"2023-04-24";"2023-04-30";0;0;548,24
"Amsterdam";903399;"2023-04-24";"2023-04-30";8;0,9;917,65
"Apeldoorn";165611;"2023-04-24";"2023-04-30";2;1,2;597,64
"Arnhem";163888;"2023-04-24";"2023-04-30";0;0;417,75
"Assen";68979;"2023-04-24";"2023-04-30";0;0;194,61
"Asten";17068;"2023-04-24";"2023-04-30";0;0;
"Baarle-Nassau";6931;"2023-04-24";"2023-04-30";0;0;453,43
"Baarn";24876;"2023-04-24";"2023-04-30";0;0;910,24
"Barendrecht";48714;"2023-04-24";"2023-04-30";0;0;1020,67
"Barneveld";60584;"2023-04-24";"2023-04-30";1;1,7;439,44
"Beek";15817;"2023-04-24";"2023-04-30";0;0;178,17
"Beekdaelen";35922;"2023-04-24";"2023-04-30";0;0;289,48
"Beesel";13408;"2023-04-24";"2023-04-30";0;0;78,8
"Berg en Dal";34951;"2023-04-24";"2023-04-30";0;0;164,2
"Bergeijk";18879;"2023-04-24";"2023-04-30";0;0;
"Bergen (L.)";13106;"2023-04-24";"2023-04-30";0;0;154,39
"Bergen (NH.)";29723;"2023-04-24";"2023-04-30";1;3,4;1072,21
"Bergen op Zoom";67894;"2023-04-24";"2023-04-30";1;1,5;231,24
"Berkelland";43850;"2023-04-24";"2023-04-30";1;2,3;462,51
"Bernheze";31715;"2023-04-24";"2023-04-30";0;0;
"Best";30608;"2023-04-24";"2023-04-30";0;0;
"Beuningen";26235;"2023-04-24";"2023-04-30";0;0;408,81
"Beverwijk";42084;"2023-04-24";"2023-04-30";0;0;424,32
"Bladel";20718;"2023-04-24";"2023-04-30";0;0;220,09
"Blaricum";12359;"2023-04-24";"2023-04-30";0;0;541,34
"Bloemendaal";23732;"2023-04-24";"2023-04-30";0;0;352,41
"Bodegraven-Reeuwijk";35752;"2023-04-24";"2023-04-30";1;2,8;1270,59
"Boekel";11030;"2023-04-24";"2023-04-30";0;0;
"Borger-Odoorn";25681;"2023-04-24";"2023-04-30";2;7,8;643,85
"Borne";24007;"2023-04-24";"2023-04-30";0;0;
"Borsele";22847;"2023-04-24";"2023-04-30";0;0;150,73
"Boxtel";33129;"2023-04-24";"2023-04-30";0;0;522,04
"Breda";184702;"2023-04-24";"2023-04-30";0;0;0,08
"Bronckhorst";36077;"2023-04-24";"2023-04-30";0;0;251,66
"Brummen";20890;"2023-04-24";"2023-04-30";0;0;889,1
"Brunssum";27674;"2023-04-24";"2023-04-30";0;0;576,24
"Bunnik";15590;"2023-04-24";"2023-04-30";0;0;747,22
"Bunschoten";22325;"2023-04-24";"2023-04-30";0;0;781,77
"Buren";27155;"2023-04-24";"2023-04-30";0;0;513,21
"Capelle aan den IJssel";67188;"2023-04-24";"2023-04-30";1;1,5;1084,63
"Castricum";36263;"2023-04-24";"2023-04-30";0;0;424,32
"Coevorden";35517;"2023-04-24";"2023-04-30";0;0;1369,03
"Cranendonck";20669;"2023-04-24";"2023-04-30";0;0;
"Culemborg";29397;"2023-04-24";"2023-04-30";0;0;
"Dalfsen";29162;"2023-04-24";"2023-04-30";1;3,4;
"Dantumadiel";18957;"2023-04-24";"2023-04-30";0;0;562,3
"De Bilt";43508;"2023-04-24";"2023-04-30";0;0;731,63
"De Fryske Marren";51597;"2023-04-24";"2023-04-30";0;0;532,3
"De Ronde Venen";44955;"2023-04-24";"2023-04-30";0;0;469,81
"De Wolden";24511;"2023-04-24";"2023-04-30";0;0;
"Delft";104572;"2023-04-24";"2023-04-30";0;0;853,03
"Den Helder";56334;"2023-04-24";"2023-04-30";1;1,8;
"Deurne";32606;"2023-04-24";"2023-04-30";1;3,1;
"Deventer";101446;"2023-04-24";"2023-04-30";0;0;729,25
"Diemen";31822;"2023-04-24";"2023-04-30";1;3,1;1126,29
"Dijk en Waard";87695;"2023-04-24";"2023-04-30";0;0;753,92
"Dinkelland";26594;"2023-04-24";"2023-04-30";1;3,8;311,31
"Doesburg";11036;"2023-04-24";"2023-04-30";0;0;212,78
"Doetinchem";58546;"2023-04-24";"2023-04-30";1;1,7;310,83
"Dongen";26483;"2023-04-24";"2023-04-30";0;0;185,1
"Dordrecht";119537;"2023-04-24";"2023-04-30";1;0,8;468,31
"Drechterland";19983;"2023-04-24";"2023-04-30";0;0;
"Drimmelen";27476;"2023-04-24";"2023-04-30";1;3,6;310,72
"Dronten";42865;"2023-04-24";"2023-04-30";0;0;773,44
"Druten";19178;"2023-04-24";"2023-04-30";1;5,2;613,05
"Duiven";24946;"2023-04-24";"2023-04-30";0;0;480,68
"Echt-Susteren";31731;"2023-04-24";"2023-04-30";0;0;699,24
"Edam-Volendam";36471;"2023-04-24";"2023-04-30";0;0;551,9
"Ede";119986;"2023-04-24";"2023-04-30";0;0;411,44
"Eemnes";9450;"2023-04-24";"2023-04-30";0;0;541,34
"Eemsdelta";45389;"2023-04-24";"2023-04-30";0;0;852,02
"Eersel";19823;"2023-04-24";"2023-04-30";0;0;220,09
"Eijsden-Margraten";25857;"2023-04-24";"2023-04-30";0;0;451,09
"Eindhoven";238326;"2023-04-24";"2023-04-30";0;0;
"Elburg";23740;"2023-04-24";"2023-04-30";0;0;564,83
"Emmen";107856;"2023-04-24";"2023-04-30";1;0,9;
"Enkhuizen";18620;"2023-04-24";"2023-04-30";1;5,4;
"Enschede";160640;"2023-04-24";"2023-04-30";4;2,5;853,6
"Epe";33257;"2023-04-24";"2023-04-30";0;0;1569,26
"Ermelo";27258;"2023-04-24";"2023-04-30";0;0;402,79
"Etten-Leur";44152;"2023-04-24";"2023-04-30";1;2,3;3,83
"Geertruidenberg";21944;"2023-04-24";"2023-04-30";0;0;586,76
"Geldrop-Mierlo";40131;"2023-04-24";"2023-04-30";1;2,5;
"Gemert-Bakel";31040;"2023-04-24";"2023-04-30";1;3,2;267,76
"Gennep";17237;"2023-04-24";"2023-04-30";0;0;140,62
"Gilze en Rijen";26557;"2023-04-24";"2023-04-30";0;0;184,84
"Goeree-Overflakkee";51051;"2023-04-24";"2023-04-30";1;2;682,47
"Goes";38950;"2023-04-24";"2023-04-30";3;7,7;150,73
"Goirle";23979;"2023-04-24";"2023-04-30";0;0;104,24
"Gooise Meren";58846;"2023-04-24";"2023-04-30";0;0;982,94
"Gorinchem";37632;"2023-04-24";"2023-04-30";0;0;462,6
"Gouda";74095;"2023-04-24";"2023-04-30";1;1,3;1282,15
"Groningen";234950;"2023-04-24";"2023-04-30";1;0,4;1270,79
"Gulpen-Wittem";14178;"2023-04-24";"2023-04-30";0;0;466,2
"Haaksbergen";24268;"2023-04-24";"2023-04-30";0;0;419,84
"Haarlem";162898;"2023-04-24";"2023-04-30";1;0,6;521,57
"Haarlemmermeer";159336;"2023-04-24";"2023-04-30";0;0;1709,4
"Halderberge";30770;"2023-04-24";"2023-04-30";0;0;252,22
"Hardenberg";61798;"2023-04-24";"2023-04-30";1;1,6;69,42
"Harderwijk";48857;"2023-04-24";"2023-04-30";0;0;402,9
"Hardinxveld-Giessendam";18511;"2023-04-24";"2023-04-30";0;0;447,34
"Harlingen";15904;"2023-04-24";"2023-04-30";1;6,3;317,71
"Hattem";12307;"2023-04-24";"2023-04-30";0;0;1362,41
"Heemskerk";39189;"2023-04-24";"2023-04-30";0;0;424,32
"Heemstede";27557;"2023-04-24";"2023-04-30";0;0;292,75
"Heerde";18976;"2023-04-24";"2023-04-30";0;0;1611,15
"Heerenveen";51119;"2023-04-24";"2023-04-30";1;2;309,76
"Heerlen";86845;"2023-04-24";"2023-04-30";1;1,2;178,49
"Heeze-Leende";16470;"2023-04-24";"2023-04-30";0;0;
"Heiloo";24417;"2023-04-24";"2023-04-30";0;0;
"Hellendoorn";35940;"2023-04-24";"2023-04-30";0;0;90,63
"Helmond";93476;"2023-04-24";"2023-04-30";0;0;
"Hendrik-Ido-Ambacht";31663;"2023-04-24";"2023-04-30";0;0;2041,4
"Hengelo";81476;"2023-04-24";"2023-04-30";0;0;
"Het Hogeland";48022;"2023-04-24";"2023-04-30";1;2,1;644,08
"Heumen";17175;"2023-04-24";"2023-04-30";1;5,8;405,28
"Heusden";45557;"2023-04-24";"2023-04-30";0;0;
"Hillegom";22312;"2023-04-24";"2023-04-30";0;0;
"Hilvarenbeek";15810;"2023-04-24";"2023-04-30";0;0;220,09
"Hilversum";91733;"2023-04-24";"2023-04-30";0;0;538,26
"Hoeksche Waard";88715;"2023-04-24";"2023-04-30";1;1,1;1287,67
"Hof van Twente";35056;"2023-04-24";"2023-04-30";0;0;1373,35
"Hollands Kroon";48778;"2023-04-24";"2023-04-30";3;6,2;543,13
"Hoogeveen";55857;"2023-04-24";"2023-04-30";1;1,8;1369,03
"Hoorn";74298;"2023-04-24";"2023-04-30";0;0;
"Horst aan de Maas";43039;"2023-04-24";"2023-04-30";0;0;95,44
"Houten";50323;"2023-04-24";"2023-04-30";0;0;651,11
"Huizen";40938;"2023-04-24";"2023-04-30";0;0;254,21
"Hulst";27533;"2023-04-24";"2023-04-30";0;0;118,52
"IJsselstein";33429;"2023-04-24";"2023-04-30";0;0;
"Kaag en Braassem";27895;"2023-04-24";"2023-04-30";0;0;363,06
"Kampen";54791;"2023-04-24";"2023-04-30";0;0;1362,41
"Kapelle";13020;"2023-04-24";"2023-04-30";0;0;150,73
"Katwijk";66032;"2023-04-24";"2023-04-30";1;1,5;206,07
"Kerkrade";45324;"2023-04-24";"2023-04-30";0;0;65,54
"Koggenland";23048;"2023-04-24";"2023-04-30";0;0;753,92
"Krimpen aan den IJssel";29415;"2023-04-24";"2023-04-30";0;0;976,22
"Krimpenerwaard";57062;"2023-04-24";"2023-04-30";0;0;852,36
"Laarbeek";22943;"2023-04-24";"2023-04-30";0;0;
"Land van Cuijk";90707;"2023-04-24";"2023-04-30";0;0;259,44
"Landgraaf";37023;"2023-04-24";"2023-04-30";0;0;133,71
"Landsmeer";11560;"2023-04-24";"2023-04-30";0;0;671,37
"Lansingerland";64110;"2023-04-24";"2023-04-30";0;0;925,71
"Laren";11528;"2023-04-24";"2023-04-30";0;0;541,34
"Leeuwarden";125504;"2023-04-24";"2023-04-30";0;0;307,04
"Leiden";125074;"2023-04-24";"2023-04-30";1;0,8;208,4
"Leiderdorp";27464;"2023-04-24";"2023-04-30";1;3,6;208,46
"Leidschendam-Voorburg";76659;"2023-04-24";"2023-04-30";0;0;853,03
"Lelystad";81214;"2023-04-24";"2023-04-30";0;0;474,06
"Leudal";35928;"2023-04-24";"2023-04-30";0;0;267,93
"Leusden";30713;"2023-04-24";"2023-04-30";0;0;781,83
