"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Aa en Hunze";1680;"Aa en Hunze";25445;"10-03-2021";"23-03-2021";52;204.4;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31859;"10-03-2021";"23-03-2021";164;514.8;1;3.1;0;0
"Aalten";197;"Aalten";27121;"10-03-2021";"23-03-2021";162;597.3;2;7.4;1;3.7
"Achtkarspelen";59;"Achtkarspelen";27843;"10-03-2021";"23-03-2021";70;251.4;0;0;1;3.6
"Alblasserdam";482;"Alblasserdam";20165;"10-03-2021";"23-03-2021";157;778.6;1;5;2;9.9
"Albrandswaard";613;"Albrandswaard";25590;"10-03-2021";"23-03-2021";120;468.9;0;0;0;0
"Alkmaar";361;"Alkmaar";109436;"10-03-2021";"23-03-2021";531;485.2;1;0.9;1;0.9
"Almelo";141;"Almelo";73107;"10-03-2021";"23-03-2021";169;231.2;1;1.4;1;1.4
"Almere";34;"Almere";211893;"10-03-2021";"23-03-2021";848;400.2;8;3.8;3;1.4
"Alphen aan den Rijn";484;"Alphen aan den Rijn";111897;"10-03-2021";"23-03-2021";544;486.2;2;1.8;0;0
"Alphen-Chaam";1723;"Alphen-Chaam";10203;"10-03-2021";"23-03-2021";15;147;0;0;0;0
"Altena";1959;"Altena";55967;"10-03-2021";"23-03-2021";229;409.2;0;0;1;1.8
"Ameland";60;"Ameland";3716;"10-03-2021";"23-03-2021";0;0;0;0;0;0
"Amersfoort";307;"Amersfoort";157276;"10-03-2021";"23-03-2021";619;393.6;3;1.9;4;2.5
"Amstelveen";362;"Amstelveen";91675;"10-03-2021";"23-03-2021";439;478.9;5;5.5;1;1.1
"Amsterdam";363;"Amsterdam";872757;"10-03-2021";"23-03-2021";3451;395.4;43;4.9;16;1.8
"Apeldoorn";200;"Apeldoorn";163818;"10-03-2021";"23-03-2021";775;473.1;3;1.8;0;0
"Arnhem";202;"Arnhem";161348;"10-03-2021";"23-03-2021";477;295.6;5;3.1;2;1.2
"Assen";106;"Assen";68599;"10-03-2021";"23-03-2021";269;392.1;3;4.4;1;1.5
"Asten";743;"Asten";16721;"10-03-2021";"23-03-2021";59;352.8;1;6;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6859;"10-03-2021";"23-03-2021";14;204.1;0;0;0;0
"Baarn";308;"Baarn";24868;"10-03-2021";"23-03-2021";134;538.8;1;4;0;0
"Barendrecht";489;"Barendrecht";48714;"10-03-2021";"23-03-2021";335;687.7;2;4.1;1;2.1
