"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Aa en Hunze";1680;"Aa en Hunze";25445;"03-03-2021";"16-03-2021";38;149.3;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31859;"03-03-2021";"16-03-2021";143;448.9;2;6.3;1;3.1
"Aalten";197;"Aalten";27121;"03-03-2021";"16-03-2021";115;424;1;3.7;0;0
"Achtkarspelen";59;"Achtkarspelen";27843;"03-03-2021";"16-03-2021";101;362.7;1;3.6;3;10.8
"Alblasserdam";482;"Alblasserdam";20165;"03-03-2021";"16-03-2021";105;520.7;0;0;2;9.9
"Albrandswaard";613;"Albrandswaard";25590;"03-03-2021";"16-03-2021";100;390.8;0;0;1;3.9
"Alkmaar";361;"Alkmaar";109436;"03-03-2021";"16-03-2021";550;502.6;1;0.9;1;0.9
"Almelo";141;"Almelo";73107;"03-03-2021";"16-03-2021";150;205.2;1;1.4;1;1.4
"Almere";34;"Almere";211893;"03-03-2021";"16-03-2021";634;299.2;8;3.8;5;2.4
"Alphen aan den Rijn";484;"Alphen aan den Rijn";111897;"03-03-2021";"16-03-2021";466;416.5;1;0.9;2;1.8
"Alphen-Chaam";1723;"Alphen-Chaam";10203;"03-03-2021";"16-03-2021";17;166.6;0;0;0;0
"Altena";1959;"Altena";55967;"03-03-2021";"16-03-2021";178;318;1;1.8;0;0
"Ameland";60;"Ameland";3716;"03-03-2021";"16-03-2021";2;53.8;0;0;0;0
"Amersfoort";307;"Amersfoort";157276;"03-03-2021";"16-03-2021";500;317.9;5;3.2;5;3.2
"Amstelveen";362;"Amstelveen";91675;"03-03-2021";"16-03-2021";309;337.1;5;5.5;0;0
"Amsterdam";363;"Amsterdam";872757;"03-03-2021";"16-03-2021";3072;352;37;4.2;16;1.8
"Apeldoorn";200;"Apeldoorn";163818;"03-03-2021";"16-03-2021";523;319.3;9;5.5;0;0
"Arnhem";202;"Arnhem";161348;"03-03-2021";"16-03-2021";406;251.6;3;1.9;3;1.9
"Assen";106;"Assen";68599;"03-03-2021";"16-03-2021";162;236.2;3;4.4;0;0
"Asten";743;"Asten";16721;"03-03-2021";"16-03-2021";60;358.8;0;0;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6859;"03-03-2021";"16-03-2021";16;233.3;0;0;0;0
"Baarn";308;"Baarn";24868;"03-03-2021";"16-03-2021";103;414.2;2;8;0;0
"Barendrecht";489;"Barendrecht";48714;"03-03-2021";"16-03-2021";217;445.5;0;0;1;2.1
