"Gemeente";"Inwoners";"Van";"Tot";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000"
"Echt-Susteren";31731;"15-03-2023";"28-03-2023";4;12,6;0;0
"Edam-Volendam";36471;"15-03-2023";"28-03-2023";10;27,4;5;13,7
"Ede";119986;"15-03-2023";"28-03-2023";34;28,3;5;4,2
"Eemnes";9450;"15-03-2023";"28-03-2023";0;0;0;0
"Eemsdelta";45389;"15-03-2023";"28-03-2023";7;15,4;0;0
"Eersel";19823;"15-03-2023";"28-03-2023";4;20,2;4;20,2
"Eijsden-Margraten";25857;"15-03-2023";"28-03-2023";7;27,1;0;0
"Eindhoven";238326;"15-03-2023";"28-03-2023";71;29,8;15;6,3
"Elburg";23740;"15-03-2023";"28-03-2023";2;8,4;1;4,2
"Emmen";107856;"15-03-2023";"28-03-2023";27;25;15;13,9
"Enkhuizen";18620;"15-03-2023";"28-03-2023";1;5,4;1;5,4
"Enschede";160640;"15-03-2023";"28-03-2023";29;18,1;21;13,1
"Epe";33257;"15-03-2023";"28-03-2023";4;12;2;6
"Ermelo";27258;"15-03-2023";"28-03-2023";9;33;1;3,7
"Etten-Leur";44152;"15-03-2023";"28-03-2023";2;4,5;5;11,3
"Geertruidenberg";21944;"15-03-2023";"28-03-2023";1;4,6;2;9,1
"Geldrop-Mierlo";40131;"15-03-2023";"28-03-2023";12;29,9;6;15
"Gemert-Bakel";31040;"15-03-2023";"28-03-2023";4;12,9;0;0
"Gennep";17237;"15-03-2023";"28-03-2023";0;0;1;5,8
"Gilze en Rijen";26557;"15-03-2023";"28-03-2023";3;11,3;3;11,3
"Goeree-Overflakkee";51051;"15-03-2023";"28-03-2023";9;17,6;5;9,8
"Goes";38950;"15-03-2023";"28-03-2023";8;20,5;5;12,8
"Goirle";23979;"15-03-2023";"28-03-2023";3;12,5;0;0
"Gooise Meren";58846;"15-03-2023";"28-03-2023";2;3,4;0;0
"Gorinchem";37632;"15-03-2023";"28-03-2023";9;23,9;0;0
"Gouda";74095;"15-03-2023";"28-03-2023";12;16,2;3;4
"Groningen";234950;"15-03-2023";"28-03-2023";34;14,5;14;6
"Gulpen-Wittem";14178;"15-03-2023";"28-03-2023";0;0;1;7,1
"Haaksbergen";24268;"15-03-2023";"28-03-2023";1;4,1;1;4,1
"Haarlem";162898;"15-03-2023";"28-03-2023";41;25,2;5;3,1
"Haarlemmermeer";159336;"15-03-2023";"28-03-2023";24;15,1;3;1,9
"Halderberge";30770;"15-03-2023";"28-03-2023";8;26;5;16,2
"Hardenberg";61798;"15-03-2023";"28-03-2023";14;22,7;4;6,5
"Harderwijk";48857;"15-03-2023";"28-03-2023";8;16,4;3;6,1
"Hardinxveld-Giessendam";18511;"15-03-2023";"28-03-2023";6;32,4;0;0
"Harlingen";15904;"15-03-2023";"28-03-2023";3;18,9;0;0
"Hattem";12307;"15-03-2023";"28-03-2023";1;8,1;2;16,3
"Heemskerk";39189;"15-03-2023";"28-03-2023";18;45,9;1;2,6
