"Gemeente";"Inwoners";"Van";"Tot";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"Doesburg";11036;"16-11-2022";"29-11-2022";3;27,2;0;0;0;0
"Doetinchem";58546;"16-11-2022";"29-11-2022";25;42,7;1;1,7;0;0
"Dongen";26483;"16-11-2022";"29-11-2022";10;37,8;2;7,6;0;0
"Dordrecht";119537;"16-11-2022";"29-11-2022";57;47,7;3;2,5;0;0
"Drechterland";19983;"16-11-2022";"29-11-2022";10;50;1;5;0;0
"Drimmelen";27476;"16-11-2022";"29-11-2022";20;72,8;2;7,3;0;0
"Dronten";42865;"16-11-2022";"29-11-2022";23;53,7;2;4,7;0;0
"Druten";19178;"16-11-2022";"29-11-2022";19;99,1;4;20,9;0;0
"Duiven";24946;"16-11-2022";"29-11-2022";18;72,2;0;0;0;0
"Echt-Susteren";31731;"16-11-2022";"29-11-2022";28;88,2;2;6,3;0;0
"Edam-Volendam";36471;"16-11-2022";"29-11-2022";12;32,9;1;2,7;0;0
"Ede";119986;"16-11-2022";"29-11-2022";65;54,2;1;0,8;0;0
"Eemnes";9450;"16-11-2022";"29-11-2022";5;52,9;0;0;0;0
"Eemsdelta";45389;"16-11-2022";"29-11-2022";14;30,8;0;0;0;0
"Eersel";19823;"16-11-2022";"29-11-2022";8;40,4;0;0;0;0
"Eijsden-Margraten";25857;"16-11-2022";"29-11-2022";28;108,3;0;0;0;0
"Eindhoven";238326;"16-11-2022";"29-11-2022";120;50,4;11;4,6;0;0
"Elburg";23740;"16-11-2022";"29-11-2022";10;42,1;2;8,4;0;0
"Emmen";107856;"16-11-2022";"29-11-2022";35;32,5;2;1,9;0;0
"Enkhuizen";18620;"16-11-2022";"29-11-2022";5;26,9;0;0;0;0
"Enschede";160640;"16-11-2022";"29-11-2022";59;36,7;2;1,2;0;0
"Epe";33257;"16-11-2022";"29-11-2022";12;36,1;1;3;0;0
"Ermelo";27258;"16-11-2022";"29-11-2022";13;47,7;1;3,7;0;0
"Etten-Leur";44152;"16-11-2022";"29-11-2022";18;40,8;1;2,3;0;0
"Geertruidenberg";21944;"16-11-2022";"29-11-2022";8;36,5;1;4,6;0;0
