"Gemeente";"Inwoners";"Van";"Tot";"Zkh opname";"Zkh opname per 100.000";"Aantal x100 miljard"
"'s-Gravenhage";553417;"2023-06-12";"2023-06-18";0;0;173,08
"'s-Hertogenbosch";156538;"2023-06-12";"2023-06-18";0;0;32,38
"Aa en Hunze";25579;"2023-06-12";"2023-06-18";0;0;38,54
"Aalsmeer";32452;"2023-06-12";"2023-06-18";0;0;40,07
"Aalten";27100;"2023-06-12";"2023-06-18";0;0;203,31
"Achtkarspelen";27954;"2023-06-12";"2023-06-18";0;0;95,15
"Alblasserdam";20087;"2023-06-12";"2023-06-18";0;0;29,89
"Albrandswaard";25934;"2023-06-12";"2023-06-18";0;0;116,8
"Alkmaar";110783;"2023-06-12";"2023-06-18";0;0;42,09
"Almelo";73155;"2023-06-12";"2023-06-18";0;0;7,01
"Almere";217828;"2023-06-12";"2023-06-18";0;0;170,32
"Alphen aan den Rijn";112926;"2023-06-12";"2023-06-18";1;0,9;49,11
"Alphen-Chaam";10425;"2023-06-12";"2023-06-18";0;0;42,74
"Altena";57009;"2023-06-12";"2023-06-18";0;0;11,75
"Ameland";3757;"2023-06-12";"2023-06-18";0;0;110,22
"Amersfoort";158590;"2023-06-12";"2023-06-18";0;0;122,21
"Amstelveen";92331;"2023-06-12";"2023-06-18";0;0;188,76
"Amsterdam";903399;"2023-06-12";"2023-06-18";3;0,3;354,42
"Apeldoorn";165611;"2023-06-12";"2023-06-18";0;0;20,97
"Arnhem";163888;"2023-06-12";"2023-06-18";1;0,6;7,71
"Assen";68979;"2023-06-12";"2023-06-18";0;0;90,29
"Asten";17068;"2023-06-12";"2023-06-18";0;0;11,55
"Baarle-Nassau";6931;"2023-06-12";"2023-06-18";0;0;46,19
"Baarn";24876;"2023-06-12";"2023-06-18";0;0;50,98
"Barendrecht";48714;"2023-06-12";"2023-06-18";0;0;85,34
"Barneveld";60584;"2023-06-12";"2023-06-18";1;1,7;75,68
"Beek";15817;"2023-06-12";"2023-06-18";0;0;41,47
"Beekdaelen";35922;"2023-06-12";"2023-06-18";0;0;42,73
"Beesel";13408;"2023-06-12";"2023-06-18";0;0;13,75
"Berg en Dal";34951;"2023-06-12";"2023-06-18";0;0;14,99
"Bergeijk";18879;"2023-06-12";"2023-06-18";0;0;39,95
