"Gemeente";"Inwoners";"Van";"Tot";"Zkh opname";"Zkh opname per 100.000";"Aantal x100 miljard"
"'s-Gravenhage";553417;"2023-05-15";"2023-05-21";1;0,2;144,39
"'s-Hertogenbosch";156538;"2023-05-15";"2023-05-21";0;0;46,2
"Aa en Hunze";25579;"2023-05-15";"2023-05-21";0;0;120,93
"Aalsmeer";32452;"2023-05-15";"2023-05-21";0;0;305,21
"Aalten";27100;"2023-05-15";"2023-05-21";0;0;28,26
"Achtkarspelen";27954;"2023-05-15";"2023-05-21";0;0;
"Alblasserdam";20087;"2023-05-15";"2023-05-21";0;0;208,33
"Albrandswaard";25934;"2023-05-15";"2023-05-21";0;0;288,61
"Alkmaar";110783;"2023-05-15";"2023-05-21";2;1,8;85,53
"Almelo";73155;"2023-05-15";"2023-05-21";0;0;170,97
"Almere";217828;"2023-05-15";"2023-05-21";0;0;
"Alphen aan den Rijn";112926;"2023-05-15";"2023-05-21";0;0;167,37
"Alphen-Chaam";10425;"2023-05-15";"2023-05-21";0;0;52,83
"Altena";57009;"2023-05-15";"2023-05-21";0;0;154,22
"Ameland";3757;"2023-05-15";"2023-05-21";0;0;
"Amersfoort";158590;"2023-05-15";"2023-05-21";0;0;136,23
"Amstelveen";92331;"2023-05-15";"2023-05-21";0;0;200,27
"Amsterdam";903399;"2023-05-15";"2023-05-21";9;1;380,97
"Apeldoorn";165611;"2023-05-15";"2023-05-21";1;0,6;178,07
"Arnhem";163888;"2023-05-15";"2023-05-21";0;0;468,2
"Assen";68979;"2023-05-15";"2023-05-21";1;1,4;38,43
"Asten";17068;"2023-05-15";"2023-05-21";0;0;92,11
"Baarle-Nassau";6931;"2023-05-15";"2023-05-21";0;0;58,29
"Baarn";24876;"2023-05-15";"2023-05-21";0;0;112,49
"Barendrecht";48714;"2023-05-15";"2023-05-21";0;0;364,96
"Barneveld";60584;"2023-05-15";"2023-05-21";1;1,7;103,55
"Beek";15817;"2023-05-15";"2023-05-21";0;0;81,67
"Beekdaelen";35922;"2023-05-15";"2023-05-21";0;0;
"Beesel";13408;"2023-05-15";"2023-05-21";0;0;
"Berg en Dal";34951;"2023-05-15";"2023-05-21";1;2,9;56,35
"Bergeijk";18879;"2023-05-15";"2023-05-21";0;0;60,08
"Bergen (L.)";13106;"2023-05-15";"2023-05-21";0;0;
"Bergen (NH.)";29723;"2023-05-15";"2023-05-21";0;0;86,5
"Bergen op Zoom";67894;"2023-05-15";"2023-05-21";0;0;45,39
"Berkelland";43850;"2023-05-15";"2023-05-21";0;0;122,75
"Bernheze";31715;"2023-05-15";"2023-05-21";1;3,2;85,81
"Best";30608;"2023-05-15";"2023-05-21";0;0;69,38
"Beuningen";26235;"2023-05-15";"2023-05-21";0;0;52,1
"Beverwijk";42084;"2023-05-15";"2023-05-21";0;0;
"Bladel";20718;"2023-05-15";"2023-05-21";0;0;62,01
"Blaricum";12359;"2023-05-15";"2023-05-21";0;0;81,05
"Bloemendaal";23732;"2023-05-15";"2023-05-21";0;0;227,81
"Bodegraven-Reeuwijk";35752;"2023-05-15";"2023-05-21";0;0;55,8
"Boekel";11030;"2023-05-15";"2023-05-21";0;0;64,29
"Borger-Odoorn";25681;"2023-05-15";"2023-05-21";0;0;147,4
"Borne";24007;"2023-05-15";"2023-05-21";0;0;
"Borsele";22847;"2023-05-15";"2023-05-21";0;0;270,76
"Boxtel";33129;"2023-05-15";"2023-05-21";2;6;13,44
"Breda";184702;"2023-05-15";"2023-05-21";0;0;37,43
"Bronckhorst";36077;"2023-05-15";"2023-05-21";0;0;67,33
"Brummen";20890;"2023-05-15";"2023-05-21";0;0;189,38
"Brunssum";27674;"2023-05-15";"2023-05-21";0;0;
"Bunnik";15590;"2023-05-15";"2023-05-21";0;0;48,76
"Bunschoten";22325;"2023-05-15";"2023-05-21";0;0;136,36
"Buren";27155;"2023-05-15";"2023-05-21";0;0;407,43
"Capelle aan den IJssel";67188;"2023-05-15";"2023-05-21";3;4,5;320,18
"Castricum";36263;"2023-05-15";"2023-05-21";0;0;55,57
"Coevorden";35517;"2023-05-15";"2023-05-21";0;0;476,7
"Cranendonck";20669;"2023-05-15";"2023-05-21";0;0;
"Culemborg";29397;"2023-05-15";"2023-05-21";1;3,4;16,53
"Dalfsen";29162;"2023-05-15";"2023-05-21";0;0;393,29
"Dantumadiel";18957;"2023-05-15";"2023-05-21";0;0;
"De Bilt";43508;"2023-05-15";"2023-05-21";0;0;80,02
"De Fryske Marren";51597;"2023-05-15";"2023-05-21";0;0;233,58
"De Ronde Venen";44955;"2023-05-15";"2023-05-21";0;0;157,63
"De Wolden";24511;"2023-05-15";"2023-05-21";0;0;390,67
"Delft";104572;"2023-05-15";"2023-05-21";2;1,9;117,45
